id,label
ZNF215id,ZNF215
ETV7id,ETV7
PURAid,PURA
NR2E3id,NR2E3
HES5id,HES5
RESTid,REST
ZNF281id,ZNF281
SP100id,SP100
MAFGid,MAFG
SRYid,SRY
ZNF133id,ZNF133
ZBTB12id,ZBTB12
ERFid,ERF
NFE2id,NFE2
ZMAT4id,ZMAT4
ZNF853id,ZNF853
HNF1Aid,HNF1A
ZNF432id,ZNF432
ZSCAN12id,ZSCAN12
ZNF169id,ZNF169
ANKZF1id,ANKZF1
LCORLid,LCORL
BATFid,BATF
CC2D1Aid,CC2D1A
THAP12id,THAP12
NR1D2id,NR1D2
CASZ1id,CASZ1
ZNF354Cid,ZNF354C
XPAid,XPA
NKX26id,NKX26
ZBTB43id,ZBTB43
ZNF41id,ZNF41
SIM1id,SIM1
THAP8id,THAP8
MAFAid,MAFA
RARBid,RARB
CEBPZid,CEBPZ
POU2F1id,POU2F1
FOXO6id,FOXO6
ATF6Bid,ATF6B
NKX62id,NKX62
ZFP57id,ZFP57
ZKSCAN8id,ZKSCAN8
NR1I3id,NR1I3
ZBTB5id,ZBTB5
SP140Lid,SP140L
ZNF557id,ZNF557
USF1id,USF1
OVOL3id,OVOL3
ZNF610id,ZNF610
ZNF665id,ZNF665
CENPSid,CENPS
ZNF70id,ZNF70
YBX1id,YBX1
POU4F3id,POU4F3
KLF16id,KLF16
ADNPid,ADNP
RHOXF2Bid,RHOXF2B
ZNF239id,ZNF239
EEA1id,EEA1
TAL1id,TAL1
GBX2id,GBX2
STAT5Aid,STAT5A
ZBTB8Bid,ZBTB8B
DUX4id,DUX4
FOXH1id,FOXH1
TLX2id,TLX2
ATOH8id,ATOH8
ESRRAid,ESRRA
ETS2id,ETS2
HIC2id,HIC2
ZXDCid,ZXDC
ZNF408id,ZNF408
MECP2id,MECP2
SIX2id,SIX2
HOXA5id,HOXA5
ZNF184id,ZNF184
RUNX2id,RUNX2
HMX2id,HMX2
HSFY1id,HSFY1
LHX1id,LHX1
FOXB1id,FOXB1
NFYAid,NFYA
SCXid,SCX
SP2id,SP2
E2F7id,E2F7
ALX4id,ALX4
ZBED2id,ZBED2
ZNF415id,ZNF415
ZNF362id,ZNF362
PEG3id,PEG3
BAZ2Aid,BAZ2A
ARNTid,ARNT
