id,label
ZSCAN31id,ZSCAN31
HOXD8id,HOXD8
ZSCAN10id,ZSCAN10
ZNF414id,ZNF414
ZFP28id,ZFP28
ZBTB33id,ZBTB33
NPAS3id,NPAS3
ZNF443id,ZNF443
ZNF713id,ZNF713
IRF9id,IRF9
MBD2id,MBD2
MEOX2id,MEOX2
ZNF654id,ZNF654
GTF2IRD1id,GTF2IRD1
RARGid,RARG
ZNF519id,ZNF519
GTF2IRD2id,GTF2IRD2
ATOH1id,ATOH1
NPAS4id,NPAS4
ZNF718id,ZNF718
E2F3id,E2F3
PHF20id,PHF20
NRF1id,NRF1
ZNF683id,ZNF683
MYNNid,MYNN
ARID5Aid,ARID5A
JUNDid,JUND
IRF8id,IRF8
ZNF467id,ZNF467
DBX2id,DBX2
ZNF282id,ZNF282
ZNF543id,ZNF543
ASCL1id,ASCL1
L3MBTL3id,L3MBTL3
NFYCid,NFYC
SMAD9id,SMAD9
PTF1Aid,PTF1A
IKZF2id,IKZF2
CGGBP1id,CGGBP1
ATF1id,ATF1
PLAG1id,PLAG1
MTERF2id,MTERF2
SP6id,SP6
THAP3id,THAP3
LMX1Aid,LMX1A
RFX4id,RFX4
FOXD4L1id,FOXD4L1
ETV6id,ETV6
ARID3Aid,ARID3A
ZNF492id,ZNF492
ZNF764id,ZNF764
ZNF649id,ZNF649
LHX8id,LHX8
OTPid,OTP
ZSCAN16id,ZSCAN16
TGIF2LXid,TGIF2LX
ZFXid,ZFX
NR1H2id,NR1H2
ZBTB38id,ZBTB38
ZNF699id,ZNF699
FOXI2id,FOXI2
GPBP1id,GPBP1
GLI4id,GLI4
ZNF92id,ZNF92
SP5id,SP5
ZNF749id,ZNF749
SPICid,SPIC
IRX6id,IRX6
ZNF224id,ZNF224
ZNF460id,ZNF460
ZEB1id,ZEB1
TBX6id,TBX6
ZNF575id,ZNF575
SETDB2id,SETDB2
CTCFLid,CTCFL
ZNF560id,ZNF560
ZNF701id,ZNF701
ETV3id,ETV3
ZNF99id,ZNF99
ZNF365id,ZNF365
ISL2id,ISL2
POU4F1id,POU4F1
CEBPBid,CEBPB
KCMF1id,KCMF1
TSHZ1id,TSHZ1
FOXJ1id,FOXJ1
KLF6id,KLF6
SIX5id,SIX5
RBSNid,RBSN
ZNF883id,ZNF883
ZNF488id,ZNF488
ZNF366id,ZNF366
TFAP2Bid,TFAP2B
IKZF3id,IKZF3
NANOGid,NANOG
ZNF510id,ZNF510
TBX10id,TBX10
LCORid,LCOR
HOXA6id,HOXA6
ZNF646id,ZNF646
ATF5id,ATF5
MAXid,MAX
SOX15id,SOX15
ZFHX2id,ZFHX2
ZNF17id,ZNF17
ZNF124id,ZNF124
MYOD1id,MYOD1
ZNF232id,ZNF232
FOXI1id,FOXI1
ZFP42id,ZFP42
ZBTB37id,ZBTB37
AKNAid,AKNA
FOXJ2id,FOXJ2
IRX2id,IRX2
MLXIPLid,MLXIPL
ARID3Bid,ARID3B
SP1id,SP1
ZNF280Did,ZNF280D
SREBF2id,SREBF2
FOXD4L4id,FOXD4L4
ZNF567id,ZNF567
TFAP2Eid,TFAP2E
ZFHX3id,ZFHX3
ZFP37id,ZFP37
FOXC1id,FOXC1
ZNF469id,ZNF469
GSCid,GSC
ZNF747id,ZNF747
ZNF470id,ZNF470
IRX1id,IRX1
BHLHE41id,BHLHE41
MYRFLid,MYRFL
ZNF189id,ZNF189
RORCid,RORC
VSX2id,VSX2
ESRRGid,ESRRG
TRAFD1id,TRAFD1
ZNF540id,ZNF540
ATF7id,ATF7
PATZ1id,PATZ1
GLMPid,GLMP
MECOMid,MECOM
PRDM10id,PRDM10
FOXN3id,FOXN3
ZNF429id,ZNF429
SRFid,SRF
THAP1id,THAP1
FOXD3id,FOXD3
PCGF2id,PCGF2
ZBTB6id,ZBTB6
ZNF799id,ZNF799
HOXD3id,HOXD3
ZFPM1id,ZFPM1
ONECUT1id,ONECUT1
ZNF439id,ZNF439
CBX2id,CBX2
ZNF625id,ZNF625
ZNF727id,ZNF727
SNAPC2id,SNAPC2
NR2F2id,NR2F2
SALL3id,SALL3
ZNF48id,ZNF48
ZNF142id,ZNF142
SCRT2id,SCRT2
ZUP1id,ZUP1
JUNBid,JUNB
ZNF766id,ZNF766
NFATC3id,NFATC3
BRF2id,BRF2
KLF9id,KLF9
FOXE1id,FOXE1
ZNF213id,ZNF213
FOXN4id,FOXN4
DMBX1id,DMBX1
ZNF547id,ZNF547
ZBTB25id,ZBTB25
PAX6id,PAX6
SOX17id,SOX17
NFATC1id,NFATC1
ZNF629id,ZNF629
ZKSCAN3id,ZKSCAN3
ZNF586id,ZNF586
TSC22D1id,TSC22D1
IRX3id,IRX3
KLF10id,KLF10
PHOX2Bid,PHOX2B
JAZF1id,JAZF1
ZNF724id,ZNF724
ZNF22id,ZNF22
SNAI2id,SNAI2
NR3C1id,NR3C1
MAFFid,MAFF
ZNF100id,ZNF100
HOXC4id,HOXC4
SCMH1id,SCMH1
NR2E1id,NR2E1
ZNF559id,ZNF559
ZNF689id,ZNF689
PRR12id,PRR12
ZBED3id,ZBED3
HIVEP1id,HIVEP1
ZNF440id,ZNF440
TBX18id,TBX18
ZSCAN2id,ZSCAN2
ZNF154id,ZNF154
HAND2id,HAND2
DUXAid,DUXA
ZNF418id,ZNF418
VAX2id,VAX2
SAFBid,SAFB
ELF4id,ELF4
GZF1id,GZF1
ZNF595id,ZNF595
ZFATid,ZFAT
ZNF445id,ZNF445
ZNF385Aid,ZNF385A
ZNF75Aid,ZNF75A
CREBL2id,CREBL2
MSANTD4id,MSANTD4
ZNF678id,ZNF678
ZBTB9id,ZBTB9
HES3id,HES3
ZNF181id,ZNF181
EGR4id,EGR4
ZSCAN4id,ZSCAN4
SIX6id,SIX6
YBX3id,YBX3
AEBP1id,AEBP1
MSX2id,MSX2
CEBPDid,CEBPD
NFIBid,NFIB
MAZid,MAZ
ZNF497id,ZNF497
SOX3id,SOX3
ZNF385Bid,ZNF385B
AKAP8id,AKAP8
ZNF526id,ZNF526
GPBP1L1id,GPBP1L1
ZNF134id,ZNF134
TCF15id,TCF15
NR4A2id,NR4A2
ZNF530id,ZNF530
DDIT3id,DDIT3
HMBOX1id,HMBOX1
ZNF425id,ZNF425
TFAP2Aid,TFAP2A
ESR1id,ESR1
BATF3id,BATF3
PPARAid,PPARA
ZBTB49id,ZBTB49
L3MBTL1id,L3MBTL1
USF3id,USF3
ZNF81id,ZNF81
ELK4id,ELK4
TET2id,TET2
FOXD1id,FOXD1
GFI1id,GFI1
RUNX1id,RUNX1
PRRX2id,PRRX2
BBXid,BBX
ZFHX4id,ZFHX4
CUX1id,CUX1
GLIS3id,GLIS3
PKNOX2id,PKNOX2
DLX1id,DLX1
ZNF582id,ZNF582
BARHL2id,BARHL2
ZNF772id,ZNF772
FOXA3id,FOXA3
ZHX1id,ZHX1
ZHX2id,ZHX2
MEIS3id,MEIS3
ZNF35id,ZNF35
CREB3L4id,CREB3L4
STAT6id,STAT6
NFE2L3id,NFE2L3
PROX1id,PROX1
ZNF468id,ZNF468
ZNF791id,ZNF791
ZNF121id,ZNF121
NFKB1id,NFKB1
ZNF202id,ZNF202
THAP7id,THAP7
SOX8id,SOX8
NFIXid,NFIX
EGR3id,EGR3
TFECid,TFEC
ZNF32id,ZNF32
VENTXid,VENTX
ZNF180id,ZNF180
POU2F2id,POU2F2
ZBTB21id,ZBTB21
TTF1id,TTF1
KLF14id,KLF14
ZNF286Bid,ZNF286B
ZNF335id,ZNF335
ZNF93id,ZNF93
TERF1id,TERF1
ZNF223id,ZNF223
TBX20id,TBX20
ZNF658id,ZNF658
NPAS2id,NPAS2
ZNF529id,ZNF529
SETDB1id,SETDB1
ZNF768id,ZNF768
RFX8id,RFX8
PURBid,PURB
L3MBTL4id,L3MBTL4
CENPTid,CENPT
ZNF140id,ZNF140
ZNF574id,ZNF574
ZNF705Aid,ZNF705A
NFYBid,NFYB
CSRNP1id,CSRNP1
ZNF358id,ZNF358
ZNF383id,ZNF383
PRDM1id,PRDM1
HOXC5id,HOXC5
ZNF211id,ZNF211
GCM1id,GCM1
POU5F2id,POU5F2
ZBTB17id,ZBTB17
NKRFid,NKRF
MTF2id,MTF2
MKXid,MKX
NFE2L1id,NFE2L1
CREB5id,CREB5
HEY1id,HEY1
FOXP2id,FOXP2
GRHL3id,GRHL3
ZNF44id,ZNF44
ZNF155id,ZNF155
ZBTB20id,ZBTB20
SOX12id,SOX12
ZNF829id,ZNF829
NKX25id,NKX25
ONECUT3id,ONECUT3
SNAPC5id,SNAPC5
KLF11id,KLF11
ZNF346id,ZNF346
MSCid,MSC
FOXJ3id,FOXJ3
FOXN2id,FOXN2
ZBED4id,ZBED4
ELK3id,ELK3
ASH1Lid,ASH1L
SONid,SON
TBX4id,TBX4
THAP4id,THAP4
GTF3Aid,GTF3A
ZNF821id,ZNF821
PGRid,PGR
ZNF737id,ZNF737
MTERF3id,MTERF3
ESR2id,ESR2
SIM2id,SIM2
ZNF583id,ZNF583
AIREid,AIRE
TCF7L1id,TCF7L1
FOXK2id,FOXK2
PHOX2Aid,PHOX2A
HEYLid,HEYL
INSM2id,INSM2
TFDP1id,TFDP1
ZNF69id,ZNF69
SKOR1id,SKOR1
FOXB2id,FOXB2
TBR1id,TBR1
SMAD4id,SMAD4
RELBid,RELB
ZNF517id,ZNF517
PITX3id,PITX3
ZNF827id,ZNF827
ZBTB46id,ZBTB46
ZNF205id,ZNF205
STAT4id,STAT4
PAX2id,PAX2
ST18id,ST18
ZNF138id,ZNF138
RFX2id,RFX2
MITFid,MITF
ZGLP1id,ZGLP1
ZIC4id,ZIC4
ZNF653id,ZNF653
FOXD4L5id,FOXD4L5
ZNF26id,ZNF26
PCGF6id,PCGF6
ISXid,ISX
ZBTB48id,ZBTB48
KLF15id,KLF15
KLF3id,KLF3
HOMEZid,HOMEZ
SHOXid,SHOX
ZNF79id,ZNF79
ZNF544id,ZNF544
PAX1id,PAX1
LHX9id,LHX9
ZIM2id,ZIM2
ZNF800id,ZNF800
ZBTB26id,ZBTB26
ZNF311id,ZNF311
OLIG2id,OLIG2
FOXK1id,FOXK1
DOT1Lid,DOT1L
ZNF580id,ZNF580
ZNF397id,ZNF397
HOXB1id,HOXB1
ZNF780Aid,ZNF780A
GSX1id,GSX1
NFKB2id,NFKB2
MZF1id,MZF1
ZNF420id,ZNF420
OSR2id,OSR2
HELTid,HELT
SOHLH1id,SOHLH1
AHRRid,AHRR
ZNF565id,ZNF565
GLI1id,GLI1
HES1id,HES1
CXXC1id,CXXC1
ZNF253id,ZNF253
ZNF771id,ZNF771
MYF5id,MYF5
RBCK1id,RBCK1
ZNF98id,ZNF98
HIF1Aid,HIF1A
ZNF487id,ZNF487
NR3C2id,NR3C2
EMX2id,EMX2
HOXD4id,HOXD4
CDX4id,CDX4
ARXid,ARX
TGIF1id,TGIF1
ZNF316id,ZNF316
ZNF641id,ZNF641
MBD6id,MBD6
ZNF704id,ZNF704
ZNF225id,ZNF225
SPENid,SPEN
ZNF236id,ZNF236
TP53id,TP53
ZNF471id,ZNF471
ZNF221id,ZNF221
SOX6id,SOX6
MLXIPid,MLXIP
LIN28Bid,LIN28B
DLX2id,DLX2
HOXB2id,HOXB2
ZIC3id,ZIC3
ZNF774id,ZNF774
ZNF546id,ZNF546
ZNF773id,ZNF773
SATB1id,SATB1
ZNF780Bid,ZNF780B
ZNF615id,ZNF615
ZNF322id,ZNF322
EVX1id,EVX1
SIX3id,SIX3
ZNF267id,ZNF267
ZNF688id,ZNF688
FOSid,FOS
ZNF804Aid,ZNF804A
ZNF175id,ZNF175
TFDP2id,TFDP2
ZNF609id,ZNF609
MYT1id,MYT1
ZBED6id,ZBED6
ZNF770id,ZNF770
ZNF296id,ZNF296
NACC2id,NACC2
ZFP91id,ZFP91
ZNF25id,ZNF25
POU6F1id,POU6F1
TEAD3id,TEAD3
TIGD2id,TIGD2
ZNF845id,ZNF845
ASCL5id,ASCL5
NEUROD2id,NEUROD2
CLOCKid,CLOCK
ATF6id,ATF6
GTF2IRD2Bid,GTF2IRD2B
SPDEFid,SPDEF
ZNF623id,ZNF623
ZNF90id,ZNF90
SOX30id,SOX30
ZNF805id,ZNF805
ZNF804Bid,ZNF804B
IRF4id,IRF4
TFAP2Did,TFAP2D
PRDM15id,PRDM15
ZNF662id,ZNF662
OVOL2id,OVOL2
EN1id,EN1
ZKSCAN2id,ZKSCAN2
ZNF431id,ZNF431
ZNF831id,ZNF831
ZNF33Aid,ZNF33A
DMRT3id,DMRT3
CREMid,CREM
PRDM6id,PRDM6
ZNF329id,ZNF329
MXD4id,MXD4
HOXB9id,HOXB9
PAX7id,PAX7
FOXF1id,FOXF1
ZNF628id,ZNF628
ZNF527id,ZNF527
MEIS2id,MEIS2
ZSCAN30id,ZSCAN30
ZFP30id,ZFP30
ETV5id,ETV5
CSRNP3id,CSRNP3
HHEXid,HHEX
LHX5id,LHX5
FOSL1id,FOSL1
HMG20Aid,HMG20A
LIN54id,LIN54
ZNF256id,ZNF256
KLF12id,KLF12
GMEB1id,GMEB1
MAFid,MAF
TBX22id,TBX22
HOXD10id,HOXD10
ZNF251id,ZNF251
FOXR1id,FOXR1
KMT2Aid,KMT2A
ZNF219id,ZNF219
GLIS2id,GLIS2
PRRX1id,PRRX1
ZBED1id,ZBED1
FOXP1id,FOXP1
THAP6id,THAP6
ZNF77id,ZNF77
ZFP14id,ZFP14
RFX6id,RFX6
SCRT1id,SCRT1
ZNF423id,ZNF423
HDXid,HDX
LHX3id,LHX3
ZXDBid,ZXDB
HOXC9id,HOXC9
TBPid,TBP
FEVid,FEV
ZNF462id,ZNF462
CCDC17id,CCDC17
ZNF564id,ZNF564
CAMTA2id,CAMTA2
ZNF667id,ZNF667
HOXC13id,HOXC13
ZNF107id,ZNF107
SKIid,SKI
HOXB3id,HOXB3
ZNF83id,ZNF83
ZNF558id,ZNF558
ZNF865id,ZNF865
SPI1id,SPI1
KLF8id,KLF8
BCL6Bid,BCL6B
HOXA9id,HOXA9
ZNF304id,ZNF304
REXO4id,REXO4
TRPS1id,TRPS1
NFAT5id,NFAT5
FOXA1id,FOXA1
ATMINid,ATMIN
HNF4Gid,HNF4G
TBX2id,TBX2
ZNF534id,ZNF534
FOXQ1id,FOXQ1
ZNF692id,ZNF692
ARNTL2id,ARNTL2
RAG1id,RAG1
ZNF45id,ZNF45
ZNF860id,ZNF860
ZNF782id,ZNF782
ARHGAP35id,ARHGAP35
HESX1id,HESX1
ZNF334id,ZNF334
ATF4id,ATF4
ZNF410id,ZNF410
MYSM1id,MYSM1
ZNF835id,ZNF835
DMRTA1id,DMRTA1
ZNF19id,ZNF19
ZNF444id,ZNF444
CREB1id,CREB1
BATF2id,BATF2
ZNF605id,ZNF605
BACH2id,BACH2
ZFP69Bid,ZFP69B
SLC2A4RGid,SLC2A4RG
ZNF57id,ZNF57
HOXC8id,HOXC8
EOMESid,EOMES
SALL1id,SALL1
FOXC2id,FOXC2
HSF5id,HSF5
ZNF852id,ZNF852
ZNF18id,ZNF18
ZNF566id,ZNF566
LTFid,LTF
PBX4id,PBX4
ZNF496id,ZNF496
ZNF776id,ZNF776
KCNIP3id,KCNIP3
MEIS1id,MEIS1
RLFid,RLF
NFX1id,NFX1
RHOXF2id,RHOXF2
ZNF691id,ZNF691
ZNF639id,ZNF639
YY1id,YY1
SOX18id,SOX18
SOX1id,SOX1
ZNF814id,ZNF814
NR5A1id,NR5A1
ZNF503id,ZNF503
TFAP4id,TFAP4
ZNF37Aid,ZNF37A
GLIS1id,GLIS1
ZNF750id,ZNF750
MTF1id,MTF1
HOXC10id,HOXC10
ZNF367id,ZNF367
ZNF222id,ZNF222
MSANTD3id,MSANTD3
UNCXid,UNCX
SOX14id,SOX14
POGKid,POGK
AHRid,AHR
ZNF541id,ZNF541
OSR1id,OSR1
DR1id,DR1
TCF21id,TCF21
POU3F1id,POU3F1
ZNF398id,ZNF398
MTERF4id,MTERF4
ZFPM2id,ZFPM2
PHF1id,PHF1
ZNF711id,ZNF711
NR0B1id,NR0B1
ZNF696id,ZNF696
STAT2id,STAT2
ZNF660id,ZNF660
SOX13id,SOX13
ZNF354Bid,ZNF354B
GBX1id,GBX1
ZBTB1id,ZBTB1
ZNF274id,ZNF274
ZNF436id,ZNF436
ZNF385Did,ZNF385D
CENPBid,CENPB
CARFid,CARF
HOXB8id,HOXB8
SMAD3id,SMAD3
PBX2id,PBX2
ZNF550id,ZNF550
ZNF324Bid,ZNF324B
ZNF493id,ZNF493
ZNF888id,ZNF888
ZNF23id,ZNF23
MNTid,MNT
EVX2id,EVX2
ZNF500id,ZNF500
ETV4id,ETV4
ZNF630id,ZNF630
PBX1id,PBX1
MTERF1id,MTERF1
HSFX2id,HSFX2
CHCHD3id,CHCHD3
ZBTB4id,ZBTB4
ZNF717id,ZNF717
KMT2Bid,KMT2B
ZNF442id,ZNF442
STAT5Bid,STAT5B
HES7id,HES7
ZNF710id,ZNF710
ZNF611id,ZNF611
IRF3id,IRF3
PHF21Aid,PHF21A
ETV2id,ETV2
ZBTB39id,ZBTB39
ZKSCAN5id,ZKSCAN5
NEUROD1id,NEUROD1
FOXO3id,FOXO3
TPRX1id,TPRX1
THAP9id,THAP9
MLXid,MLX
TCF20id,TCF20
RBPJLid,RBPJL
MYBid,MYB
RORBid,RORB
NR1H4id,NR1H4
CREBZFid,CREBZF
PDX1id,PDX1
ZNF182id,ZNF182
HOXD9id,HOXD9
FOXD4L6id,FOXD4L6
ZNF680id,ZNF680
TWIST2id,TWIST2
ZSCAN25id,ZSCAN25
ZNF730id,ZNF730
ZNF268id,ZNF268
ZNF579id,ZNF579
ZNF536id,ZNF536
ETS1id,ETS1
HES2id,HES2
POU5F1id,POU5F1
ZNF607id,ZNF607
ZNF695id,ZNF695
ZNF682id,ZNF682
ZNF597id,ZNF597
ZFP82id,ZFP82
ZNF66id,ZNF66
PRDM4id,PRDM4
CTCFid,CTCF
RFX5id,RFX5
FOXO1id,FOXO1
CDX1id,CDX1
CREB3id,CREB3
HMGA2id,HMGA2
ZNF131id,ZNF131
ZNF511id,ZNF511
ZNF726id,ZNF726
KINid,KIN
ZNF697id,ZNF697
HOXC6id,HOXC6
UBP1id,UBP1
NR5A2id,NR5A2
ZBTB18id,ZBTB18
HES4id,HES4
ZNF91id,ZNF91
ZNF599id,ZNF599
PRMT3id,PRMT3
CXXC4id,CXXC4
GRHL1id,GRHL1
FEZF2id,FEZF2
LYL1id,LYL1
ZNF573id,ZNF573
ZNF135id,ZNF135
TGIF2id,TGIF2
GATA2id,GATA2
ZKSCAN1id,ZKSCAN1
ZFP62id,ZFP62
PITX2id,PITX2
HNF4Aid,HNF4A
DLX3id,DLX3
ZNF350id,ZNF350
ZNF326id,ZNF326
ZIC1id,ZIC1
ZNF608id,ZNF608
THRBid,THRB
ZNF491id,ZNF491
CENPAid,CENPA
BCL11Bid,BCL11B
ZNF430id,ZNF430
KAT7id,KAT7
RFX7id,RFX7
ZNF721id,ZNF721
ZNF214id,ZNF214
ZNF670id,ZNF670
ZNF850id,ZNF850
FOXD2id,FOXD2
ZNF160id,ZNF160
ZNF24id,ZNF24
ZNF428id,ZNF428
ZBTB16id,ZBTB16
FOXD4L3id,FOXD4L3
ZNF10id,ZNF10
ZNF264id,ZNF264
IRF1id,IRF1
ZBTB7Aid,ZBTB7A
GATA1id,GATA1
FOXG1id,FOXG1
ZSCAN5Bid,ZSCAN5B
NKX31id,NKX31
FOXR2id,FOXR2
HIF3Aid,HIF3A
HOXA1id,HOXA1
ZNF302id,ZNF302
E2F5id,E2F5
ZNF141id,ZNF141
TEFid,TEF
MYBL1id,MYBL1
DLX6id,DLX6
ZNF556id,ZNF556
GATA3id,GATA3
ZNF616id,ZNF616
ZNF143id,ZNF143
IRF2id,IRF2
RREB1id,RREB1
ZEB2id,ZEB2
SOHLH2id,SOHLH2
FOXN1id,FOXN1
ZNF664id,ZNF664
PAX3id,PAX3
ZSCAN9id,ZSCAN9
CICid,CIC
ZNF589id,ZNF589
ZBTB24id,ZBTB24
GATA6id,GATA6
ZNF174id,ZNF174
TBX3id,TBX3
PRDM12id,PRDM12
ZNF581id,ZNF581
PLAGL1id,PLAGL1
ZNF254id,ZNF254
ZBED9id,ZBED9
ZNF614id,ZNF614
YY2id,YY2
ALX1id,ALX1
SCML4id,SCML4
SOX11id,SOX11
ZNF286Aid,ZNF286A
ZNF512Bid,ZNF512B
GTF2Iid,GTF2I
GATAD2Bid,GATAD2B
CDC5Lid,CDC5L
TET3id,TET3
ZNF486id,ZNF486
BHLHA15id,BHLHA15
ZNF775id,ZNF775
GMEB2id,GMEB2
SAFB2id,SAFB2
HOXD12id,HOXD12
DMRTB1id,DMRTB1
TERF2id,TERF2
ZNF596id,ZNF596
ZBTB7Bid,ZBTB7B
ZNF3id,ZNF3
BARX2id,BARX2
PITX1id,PITX1
LBX1id,LBX1
ZNF34id,ZNF34
ZNF277id,ZNF277
ZNF485id,ZNF485
PRDM2id,PRDM2
RORAid,RORA
TCF3id,TCF3
ZZZ3id,ZZZ3
IKZF4id,IKZF4
HBP1id,HBP1
BPTFid,BPTF
TBX21id,TBX21
ZNF285id,ZNF285
ZNF208id,ZNF208
CPEB1id,CPEB1
ZNF561id,ZNF561
ZNF195id,ZNF195
HSF1id,HSF1
IRF7id,IRF7
ZNF669id,ZNF669
ZNF571id,ZNF571
TERB1id,TERB1
MEF2Did,MEF2D
SP110id,SP110
ZBTB32id,ZBTB32
ZNF577id,ZNF577
SOX10id,SOX10
HOXB4id,HOXB4
PBX3id,PBX3
ZBTB2id,ZBTB2
HMX3id,HMX3
HES6id,HES6
ZNF674id,ZNF674
ZBTB22id,ZBTB22
PIN1id,PIN1
MYOGid,MYOG
SPIBid,SPIB
HOXB13id,HOXB13
TOPORSid,TOPORS
GATA5id,GATA5
MESP1id,MESP1
JUNid,JUN
SOX5id,SOX5
EBF4id,EBF4
GTF2Bid,GTF2B
MAFBid,MAFB
GLI2id,GLI2
ATOH7id,ATOH7
TCF7L2id,TCF7L2
EGR2id,EGR2
SGSM2id,SGSM2
ZNF292id,ZNF292
ADNP2id,ADNP2
EBF2id,EBF2
ZNF627id,ZNF627
ZNF84id,ZNF84
TP63id,TP63
ETV1id,ETV1
CEBPGid,CEBPG
ZNF354Aid,ZNF354A
SALL4id,SALL4
HNF1Bid,HNF1B
ZBED5id,ZBED5
NFE4id,NFE4
E2F1id,E2F1
ELF3id,ELF3
ZNF484id,ZNF484
GSX2id,GSX2
NHLH2id,NHLH2
RXRGid,RXRG
HOXD11id,HOXD11
THAP10id,THAP10
TET1id,TET1
EBF1id,EBF1
DBPid,DBP
ZFP90id,ZFP90
TFCP2id,TFCP2
TWIST1id,TWIST1
MSX1id,MSX1
ZNF528id,ZNF528
IRF5id,IRF5
ZNF788Pid,ZNF788P
ZNF548id,ZNF548
PPARDid,PPARD
HOXA7id,HOXA7
SKILid,SKIL
ZBTB40id,ZBTB40
PLSCR1id,PLSCR1
ZNF438id,ZNF438
ZNF792id,ZNF792
E2F4id,E2F4
NFICid,NFIC
ELK1id,ELK1
BCL11Aid,BCL11A
DNTTIP1id,DNTTIP1
ZNF324id,ZNF324
ZNF318id,ZNF318
ZNF549id,ZNF549
ZNF793id,ZNF793
ZNF740id,ZNF740
ZNF461id,ZNF461
BACH1id,BACH1
RELAid,RELA
HOXB5id,HOXB5
ZNF276id,ZNF276
ZNF671id,ZNF671
ZNF716id,ZNF716
ZNF391id,ZNF391
ZNF275id,ZNF275
FEZF1id,FEZF1
ZFYid,ZFY
ZNF43id,ZNF43
NFATC4id,NFATC4
ZNF260id,ZNF260
SOX21id,SOX21
NR1H3id,NR1H3
ZNF707id,ZNF707
ZNF813id,ZNF813
HOXA11id,HOXA11
ZNF71id,ZNF71
DPF1id,DPF1
ZNF521id,ZNF521
ZFP64id,ZFP64
DMTF1id,DMTF1
SMAD1id,SMAD1
OLIG1id,OLIG1
ZNF592id,ZNF592
SOX7id,SOX7
TLX3id,TLX3
ZNF785id,ZNF785
ARID2id,ARID2
MYPOPid,MYPOP
TIGD3id,TIGD3
ZNF331id,ZNF331
MYCLid,MYCL
ZNF480id,ZNF480
LHX2id,LHX2
SHOX2id,SHOX2
ZNF417id,ZNF417
ZNF248id,ZNF248
THAP11id,THAP11
AHCTF1id,AHCTF1
PAX8id,PAX8
ZNF624id,ZNF624
DRAP1id,DRAP1
ASCL2id,ASCL2
NCOA2id,NCOA2
ZNF80id,ZNF80
GLYR1id,GLYR1
TBPL1id,TBPL1
GLI3id,GLI3
PRDM8id,PRDM8
POU2AF1id,POU2AF1
ZNF708id,ZNF708
SRCAPid,SRCAP
RUNX3id,RUNX3
ZMAT1id,ZMAT1
ZXDAid,ZXDA
IKZF1id,IKZF1
STAT3id,STAT3
IRX5id,IRX5
ZNF703id,ZNF703
GATAD2Aid,GATAD2A
FOXL2id,FOXL2
RXRBid,RXRB
BHLHE22id,BHLHE22
BARHL1id,BARHL1
CXXC5id,CXXC5
RBAKid,RBAK
KLF1id,KLF1
ZNF28id,ZNF28
REPIN1id,REPIN1
XBP1id,XBP1
PLAGL2id,PLAGL2
ZNF587id,ZNF587
HOXB6id,HOXB6
ZNF777id,ZNF777
GATA4id,GATA4
FOXI3id,FOXI3
SOX4id,SOX4
MGAid,MGA
HOXA2id,HOXA2
ZNF518Aid,ZNF518A
PURGid,PURG
ATF2id,ATF2
ZNF587Bid,ZNF587B
