source,relation,target
<<<<<<< Updated upstream
E2F2id,downregulated,KLF1id
E2F2id,downregulated,GATA1id
E2F2id,downregulated,GFI1Bid
PRR12id,downregulated,ZNF646id
PRR12id,downregulated,ZNF335id
PRR12id,downregulated,CICid
PRR12id,downregulated,WIZid
PRR12id,downregulated,KMT2Bid
PRR12id,downregulated,ZNF865id
MYSM1id,downregulated,ZBTB37id
MYSM1id,downregulated,ZNF254id
MYSM1id,downregulated,ZNF292id
MYSM1id,downregulated,GPBP1id
MYSM1id,downregulated,CDC5Lid
MYSM1id,downregulated,ZNF148id
MYSM1id,downregulated,ZUP1id
MYSM1id,downregulated,IKZF5id
MYSM1id,downregulated,MGAid
MYSM1id,downregulated,ZNF430id
MYSM1id,downregulated,TOPORSid
MYSM1id,downregulated,ZNF721id
MYSM1id,downregulated,ZNF107id
MYSM1id,downregulated,DMTF1id
MYSM1id,downregulated,THAP6id
MYSM1id,downregulated,CREB1id
MYSM1id,downregulated,ZBTB41id
MYSM1id,downregulated,ZBTB11id
MYSM1id,downregulated,ZZZ3id
MYSM1id,downregulated,ARID2id
MYSM1id,downregulated,ZNF451id
MYSM1id,downregulated,ZNF182id
MYSM1id,downregulated,ZNF644id
MYSM1id,downregulated,ZNF507id
MYSM1id,downregulated,RBAKid
MYSM1id,downregulated,MTF2id
MYSM1id,downregulated,KINid
MYSM1id,downregulated,ZNF326id
MYSM1id,downregulated,ZNF24id
MYSM1id,downregulated,ZNF131id
MYSM1id,downregulated,ZNF518Aid
MYSM1id,downregulated,ZBTB33id
MYSM1id,downregulated,CREBZFid
MYSM1id,downregulated,ZKSCAN8id
MYSM1id,downregulated,SONid
MYSM1id,downregulated,SP3id
MYSM1id,downregulated,ZNF678id
MYSM1id,downregulated,ZNF354Bid
MYSM1id,downregulated,ZNF12id
MYSM1id,downregulated,POU2F1id
MYSM1id,downregulated,KMT2Aid
MYSM1id,downregulated,ZNF280Cid
MYSM1id,downregulated,LCORid
MYSM1id,downregulated,SPENid
MYSM1id,downregulated,ZNF322id
MYSM1id,downregulated,MYNNid
ZMAT4id,downregulated,CDX4id
ZMAT4id,downregulated,TBR1id
ZMAT4id,downregulated,CUX2id
ZMAT4id,downregulated,TCF21id
ZMAT4id,downregulated,NHLH2id
RFX8id,downregulated,ZNF175id
RFX8id,downregulated,SP140id
RFX8id,downregulated,FOSL1id
RFX8id,downregulated,E2F7id
RFX8id,downregulated,ZNF699id
RFX8id,downregulated,MYBL1id
RFX8id,downregulated,FOXD1id
RFX8id,downregulated,ZNF215id
RFX8id,downregulated,HIVEP3id
RFX8id,downregulated,ARNTL2id
IKZF3id,downregulated,IRF4id
IKZF3id,downregulated,SP140id
IKZF3id,downregulated,ZBTB32id
IKZF3id,downregulated,PAX5id
IKZF3id,downregulated,FOXP3id
IKZF3id,downregulated,SPICid
IKZF3id,downregulated,SPIBid
IKZF3id,downregulated,POU2AF1id
SAFB2id,downregulated,CCDC17id
SALL2id,downregulated,PRDM14id
SALL2id,downregulated,HES3id
SALL2id,downregulated,ZSCAN10id
MYT1id,downregulated,NEUROD1id
MYT1id,downregulated,PHOX2Bid
MYT1id,downregulated,MYT1id
MYT1id,downregulated,LBX1id
MYT1id,downregulated,ZNF774id
MYT1id,downregulated,ST18id
MYT1id,downregulated,GSX1id
MYT1id,downregulated,SKOR1id
MYT1id,downregulated,POU4F1id
MYT1id,downregulated,RFX4id
MYT1id,downregulated,UNCXid
MYT1id,downregulated,CUX2id
MYT1id,downregulated,POU3F4id
MYT1id,downregulated,TLX3id
MYT1id,downregulated,NEUROD6id
MYT1id,downregulated,BHLHE22id
MYT1id,downregulated,NEUROG1id
MYT1id,downregulated,INSM1id
MYT1id,downregulated,ONECUT1id
MYT1id,downregulated,BARHL2id
MYT1id,downregulated,NHLH1id
MYT1id,downregulated,ZNF540id
MYT1id,downregulated,ASCL1id
MYT1id,downregulated,ZNF804Bid
MYT1id,downregulated,DACH2id
MYT1id,downregulated,SCRT1id
MYT1id,downregulated,MYT1Lid
MYT1id,downregulated,DBX1id
MYT1id,downregulated,ZIC4id
MYT1id,downregulated,NPAS3id
MYT1id,downregulated,ZNF536id
MYT1id,downregulated,PTF1Aid
MYT1id,downregulated,SCRT2id
HMGA2id,downregulated,E2F2id
HMGA2id,downregulated,SNAI2id
HMGA2id,downregulated,RFX8id
HMGA2id,downregulated,TFAP2Cid
HMGA2id,downregulated,HMGA2id
HMGA2id,downregulated,DNTTIP1id
HMGA2id,downregulated,SOX7id
HMGA2id,downregulated,DLX1id
HMGA2id,downregulated,TFDP1id
HMGA2id,downregulated,FOXA2id
HMGA2id,downregulated,PCGF6id
HMGA2id,downregulated,CSRNP1id
HMGA2id,downregulated,CENPAid
HMGA2id,downregulated,HOXB2id
HMGA2id,downregulated,BNC1id
HMGA2id,downregulated,TEAD2id
HMGA2id,downregulated,ZNF175id
HMGA2id,downregulated,NFE2L3id
HMGA2id,downregulated,PBX3id
HMGA2id,downregulated,SP6id
HMGA2id,downregulated,KLF6id
HMGA2id,downregulated,SMAD3id
HMGA2id,downregulated,TP73id
HMGA2id,downregulated,DPF3id
HMGA2id,downregulated,SIM2id
HMGA2id,downregulated,E2F8id
HMGA2id,downregulated,ONECUT3id
HMGA2id,downregulated,E2F1id
HMGA2id,downregulated,ZNF486id
HMGA2id,downregulated,FOSL1id
HMGA2id,downregulated,TFCP2L1id
HMGA2id,downregulated,SOX17id
HMGA2id,downregulated,FOXC2id
HMGA2id,downregulated,HMGA1id
HMGA2id,downregulated,FOXD1id
HMGA2id,downregulated,KLF17id
HMGA2id,downregulated,MXD3id
HMGA2id,downregulated,GBX2id
HMGA2id,downregulated,NPAS2id
HMGA2id,downregulated,ZNF22id
HMGA2id,downregulated,HOXB5id
HMGA2id,downregulated,MYBL2id
HMGA2id,downregulated,ZBED2id
HMGA2id,downregulated,FOXG1id
HMGA2id,downregulated,ZNF474id
HMGA2id,downregulated,LHX6id
HMGA2id,downregulated,FOXL1id
HMGA2id,downregulated,KLF7id
HMGA2id,downregulated,YBX1id
HMGA2id,downregulated,PRDM8id
HMGA2id,downregulated,HOXB3id
HMGA2id,downregulated,ZNF792id
HMGA2id,downregulated,NR2F2id
HMGA2id,downregulated,HOXD9id
HMGA2id,downregulated,CENPXid
HMGA2id,downregulated,PPARGid
HNF4Aid,downregulated,ISXid
HNF4Aid,downregulated,MLXIPLid
HNF4Aid,downregulated,HNF4Aid
HNF4Aid,downregulated,TBX10id
HNF4Aid,downregulated,FOXA2id
HNF4Aid,downregulated,HNF1Aid
HNF4Aid,downregulated,NR1I2id
HNF4Aid,downregulated,FOXA3id
HNF4Aid,downregulated,NR1H4id
TFECid,downregulated,IRF7id
TFECid,downregulated,VENTXid
TFECid,downregulated,ASCL2id
TFECid,downregulated,IRF8id
TFECid,downregulated,POU2F2id
TFECid,downregulated,CEBPDid
TFECid,downregulated,ZNF831id
TFECid,downregulated,LYL1id
TFECid,downregulated,CEBPEid
TFECid,downregulated,ETV7id
TFECid,downregulated,IRF5id
TFECid,downregulated,TAL1id
TFECid,downregulated,RHOXF2Bid
TFECid,downregulated,EGR2id
TFECid,downregulated,MAFBid
TFECid,downregulated,ZNF683id
IRF7id,downregulated,IKZF3id
IRF7id,downregulated,ETV3Lid
IRF7id,downregulated,ZBTB32id
IRF7id,downregulated,ZNF547id
ZBTB7Cid,downregulated,FOXN1id
ZNF148id,downregulated,ZNF624id
ZNF148id,downregulated,ZNF181id
ZNF148id,downregulated,ZNF770id
ZNF148id,downregulated,ZNF292id
ZNF148id,downregulated,GPBP1id
ZNF148id,downregulated,ZNF714id
ZNF148id,downregulated,ZNF148id
ZNF148id,downregulated,NR3C1id
ZNF148id,downregulated,TERF1id
ZNF148id,downregulated,DR1id
ZNF148id,downregulated,ZUP1id
ZNF148id,downregulated,IKZF5id
ZNF148id,downregulated,ZNF829id
ZNF148id,downregulated,ZNF654id
ZNF148id,downregulated,RBPJid
ZNF148id,downregulated,ZBED5id
ZNF148id,downregulated,ZNF430id
ZNF148id,downregulated,ZEB1id
ZNF148id,downregulated,ZNF510id
ZNF148id,downregulated,ZNF84id
ZNF148id,downregulated,SMAD5id
ZNF148id,downregulated,ZNF800id
ZNF148id,downregulated,ZNF81id
ZNF148id,downregulated,ZNF845id
ZNF148id,downregulated,ZNF33Aid
ZNF148id,downregulated,ZNF283id
ZNF148id,downregulated,TOPORSid
ZNF148id,downregulated,BBXid
ZNF148id,downregulated,LIN54id
ZNF148id,downregulated,ZFXid
ZNF148id,downregulated,LCORLid
ZNF148id,downregulated,DMTF1id
ZNF148id,downregulated,THAP6id
ZNF148id,downregulated,CREB1id
ZNF148id,downregulated,ZNF431id
ZNF148id,downregulated,RESTid
ZNF148id,downregulated,ZBTB41id
ZNF148id,downregulated,ZBTB11id
ZNF148id,downregulated,THAP5id
ZNF148id,downregulated,VEZF1id
ZNF148id,downregulated,ZNF529id
ZNF148id,downregulated,ZZZ3id
ZNF148id,downregulated,ZNF260id
ZNF148id,downregulated,ARID2id
ZNF148id,downregulated,ZNF451id
ZNF148id,downregulated,ZNF146id
ZNF148id,downregulated,ZBTB44id
ZNF148id,downregulated,FOXN2id
ZNF148id,downregulated,EEA1id
ZNF148id,downregulated,ZNF568id
ZNF148id,downregulated,ZBTB6id
ZNF148id,downregulated,ZNF644id
ZNF148id,downregulated,ZNF675id
ZNF148id,downregulated,SIM1id
ZNF148id,downregulated,ZNF507id
ZNF148id,downregulated,RBAKid
ZNF148id,downregulated,RFX7id
ZNF148id,downregulated,ZFP30id
ZNF148id,downregulated,MTF2id
ZNF148id,downregulated,ZNF25id
ZNF148id,downregulated,GABPAid
ZNF148id,downregulated,ZNF484id
ZNF148id,downregulated,THAP9id
ZNF148id,downregulated,ZNF24id
ZNF148id,downregulated,CLOCKid
ZNF148id,downregulated,ZNF131id
ZNF148id,downregulated,ATF1id
ZNF148id,downregulated,ZNF569id
ZNF148id,downregulated,ZNF724id
ZNF148id,downregulated,SMAD4id
ZNF148id,downregulated,ZNF268id
ZNF148id,downregulated,TEAD1id
ZNF148id,downregulated,CEBPZid
ZNF148id,downregulated,ZNF639id
ZNF148id,downregulated,ZNF518Aid
ZNF148id,downregulated,ATF2id
ZNF148id,downregulated,ZHX1id
ZNF148id,downregulated,ZNF765id
ZNF148id,downregulated,FOXJ3id
ZNF148id,downregulated,ZNF442id
ZNF148id,downregulated,AEBP2id
ZNF148id,downregulated,ZKSCAN8id
ZNF148id,downregulated,TMF1id
ZNF148id,downregulated,ZFP1id
ZNF148id,downregulated,ZNF136id
ZNF148id,downregulated,MTERF1id
ZNF148id,downregulated,ZNF92id
ZNF148id,downregulated,ZNF567id
ZNF148id,downregulated,SP3id
ZNF148id,downregulated,ZNF678id
ZNF148id,downregulated,ZNF347id
ZNF148id,downregulated,BAZ2Bid
ZNF148id,downregulated,MSANTD4id
ZNF148id,downregulated,POU2F1id
ZNF148id,downregulated,NFYBid
ZNF148id,downregulated,ZNF121id
ZNF148id,downregulated,THAP1id
ZNF148id,downregulated,USF3id
ZNF148id,downregulated,LCORid
ZNF148id,downregulated,ZNF100id
ZNF148id,downregulated,TET2id
ZNF148id,downregulated,MYNNid
ZNF148id,downregulated,THAP12id
TFDP1id,downregulated,E2F2id
TFDP1id,downregulated,HHEXid
