source,relation,target
<<<<<<< Updated upstream
PRR12id,upregulated,PRR12id
PRR12id,upregulated,ZNF628id
MYSM1id,upregulated,MYSM1id
MYSM1id,upregulated,BPTFid
MYSM1id,upregulated,ZNF800id
MYSM1id,upregulated,LCORLid
MYSM1id,upregulated,CGGBP1id
MYSM1id,upregulated,THAP5id
MYSM1id,upregulated,RELid
MYSM1id,upregulated,FOXN2id
MYSM1id,upregulated,ZBTB6id
MYSM1id,upregulated,GABPAid
MYSM1id,upregulated,ZNF484id
MYSM1id,upregulated,THAP9id
MYSM1id,upregulated,ELK4id
MYSM1id,upregulated,AHCTF1id
MYSM1id,upregulated,ZNF92id
MYSM1id,upregulated,ASH1Lid
MYSM1id,upregulated,USF3id
SNAI1id,upregulated,EGR4id
ZMAT4id,upregulated,SKOR2id
ZMAT4id,upregulated,ZMAT4id
ZMAT4id,upregulated,PRDM14id
ZMAT4id,upregulated,POU5F1id
ZMAT4id,upregulated,FEZF2id
ZMAT4id,upregulated,POU3F4id
ZMAT4id,upregulated,NEUROD6id
ZMAT4id,upregulated,ZSCAN10id
ZMAT4id,upregulated,NPAS4id
ZMAT4id,upregulated,NANOGP8id
ZMAT4id,upregulated,ZNF804Bid
ZMAT4id,upregulated,POU6F2id
ZMAT4id,upregulated,DACH2id
ZMAT4id,upregulated,MYT1Lid
ZMAT4id,upregulated,SALL3id
ZMAT4id,upregulated,SOX3id
ZMAT4id,upregulated,LHX8id
ZMAT4id,upregulated,BCL11Aid
MSCid,upregulated,ETV3Lid
RFX8id,upregulated,MSCid
RFX8id,upregulated,RFX8id
RFX8id,upregulated,ZBTB38id
RFX8id,upregulated,HMGA2id
RFX8id,upregulated,MSANTD3id
RFX8id,upregulated,RBPJid
RFX8id,upregulated,POU2F2id
RFX8id,upregulated,RUNX1id
RFX8id,upregulated,CREB3L2id
RFX8id,upregulated,FOXC2id
RFX8id,upregulated,TWIST2id
RFX8id,upregulated,KLF17id
RFX8id,upregulated,NFE4id
RFX8id,upregulated,RUNX2id
RFX8id,upregulated,ETS1id
RFX8id,upregulated,ELK3id
IKZF3id,upregulated,ZNF683id
SAFB2id,upregulated,SAFB2id
SAFB2id,upregulated,ZNF700id
SAFB2id,upregulated,AKAP8Lid
SAFB2id,upregulated,ZNF133id
SAFB2id,upregulated,L3MBTL1id
SAFB2id,upregulated,ZNF691id
SAFB2id,upregulated,ZNF224id
SAFB2id,upregulated,SAFBid
SAFB2id,upregulated,ZNF276id
SAFB2id,upregulated,ZBTB48id
SAFB2id,upregulated,ZGPATid
SAFB2id,upregulated,ZGLP1id
SAFB2id,upregulated,E4F1id
SAFB2id,upregulated,CENPTid
SAFB2id,upregulated,ZNF333id
SAFB2id,upregulated,KMT2Bid
SAFB2id,upregulated,GLI4id
SAFB2id,upregulated,ZNF205id
SAFB2id,upregulated,ZNF692id
SAFB2id,upregulated,MZF1id
SAFB2id,upregulated,MTERF4id
SAFB2id,upregulated,ZNF789id
SAFB2id,upregulated,ZNF444id
ZNF770id,upregulated,PRMT3id
SALL2id,upregulated,CDX4id
MYT1id,upregulated,NEUROD4id
MYT1id,upregulated,DRGXid
MYT1id,upregulated,SOX1id
MYT1id,upregulated,POU4F2id
MYT1id,upregulated,BARHL1id
MYT1id,upregulated,NHLH2id
MYT1id,upregulated,INSM2id
HMGA2id,upregulated,ZNF90id
HMGA2id,upregulated,RAXid
HMGA2id,upregulated,ZNF732id
HMGA2id,upregulated,ZNF714id
HMGA2id,upregulated,LIN28Aid
HMGA2id,upregulated,LHX1id
HMGA2id,upregulated,ETV5id
HMGA2id,upregulated,CHAMP1id
HMGA2id,upregulated,MSANTD3id
HMGA2id,upregulated,ZNF511id
HMGA2id,upregulated,ZNF695id
HMGA2id,upregulated,LIN28Bid
HMGA2id,upregulated,SOX11id
HMGA2id,upregulated,PRMT3id
HMGA2id,upregulated,TCF15id
HMGA2id,upregulated,DNMT1id
HMGA2id,upregulated,GRHL3id
HMGA2id,upregulated,TLX3id
HMGA2id,upregulated,HMX2id
HMGA2id,upregulated,MTERF3id
HMGA2id,upregulated,ZFP42id
HMGA2id,upregulated,DRAP1id
HMGA2id,upregulated,DPF1id
HMGA2id,upregulated,E2F7id
HMGA2id,upregulated,ONECUT1id
HMGA2id,upregulated,SLC2A4RGid
HMGA2id,upregulated,SOX9id
HMGA2id,upregulated,MYBL1id
HMGA2id,upregulated,ZNF749id
HMGA2id,upregulated,PLAGL1id
HMGA2id,upregulated,ZNF544id
HMGA2id,upregulated,ZNF367id
HMGA2id,upregulated,FOXM1id
HMGA2id,upregulated,CHCHD3id
HMGA2id,upregulated,SOX2id
HMGA2id,upregulated,MYCid
HMGA2id,upregulated,TEAD4id
HMGA2id,upregulated,TGIF2id
HMGA2id,upregulated,ZNF215id
HMGA2id,upregulated,ETS1id
HMGA2id,upregulated,NME2id
HMGA2id,upregulated,HOXD11id
HMGA2id,upregulated,MYCNid
HMGA2id,upregulated,GLI2id
HMGA2id,upregulated,ETV4id
HMGA2id,upregulated,SP5id
HMGA2id,upregulated,ELK3id
HMGA2id,upregulated,CENPSid
HMGA2id,upregulated,GTF3Aid
HMGA2id,upregulated,HOXD12id
HMGA2id,upregulated,SALL4id
HMGA2id,upregulated,ZNF730id
HMGA2id,upregulated,ZNF165id
HMGA2id,upregulated,MYF5id
HMGA2id,upregulated,PA2G4id
HMGA2id,upregulated,ARNTL2id
HNF4Aid,upregulated,CDX2id
HNF4Aid,upregulated,HNF1Bid
HNF4Aid,upregulated,NR1I3id
HNF4Aid,upregulated,MIXL1id
HNF4Aid,upregulated,CREB3L3id
HNF4Aid,upregulated,CDX1id
TFECid,upregulated,MSCid
TFECid,upregulated,TSHZ3id
TFECid,upregulated,TFECid
TFECid,upregulated,ETV3Lid
TFECid,upregulated,SP100id
TFECid,upregulated,SPI1id
TFECid,upregulated,SP140Lid
TFECid,upregulated,BHLHE22id
TFECid,upregulated,BATFid
TFECid,upregulated,HLXid
TFECid,upregulated,STAT2id
TFECid,upregulated,SPIBid
TFECid,upregulated,ZNF438id
TFECid,upregulated,ZNF366id
TFECid,upregulated,TBX21id
TFECid,upregulated,IRF9id
TFECid,upregulated,NFE2id
TFECid,upregulated,GFI1Bid
TFECid,upregulated,BATF2id
IRF7id,upregulated,ZNF274id
IRF7id,upregulated,IRF2id
IRF7id,upregulated,IRF1id
IRF7id,upregulated,RBCK1id
IRF7id,upregulated,GPBP1id
IRF7id,upregulated,IRF4id
IRF7id,upregulated,TFECid
IRF7id,upregulated,RELBid
IRF7id,upregulated,IRF7id
IRF7id,upregulated,TRAFD1id
IRF7id,upregulated,IRF8id
IRF7id,upregulated,RELAid
IRF7id,upregulated,PLSCR1id
IRF7id,upregulated,SP140id
IRF7id,upregulated,SP100id
IRF7id,upregulated,USF1id
IRF7id,upregulated,SP140Lid
IRF7id,upregulated,HINFPid
IRF7id,upregulated,ZNF224id
IRF7id,upregulated,ZBTB17id
IRF7id,upregulated,ZNF296id
IRF7id,upregulated,ETV7id
IRF7id,upregulated,BATFid
IRF7id,upregulated,ZNF267id
IRF7id,upregulated,RELid
IRF7id,upregulated,FOXP3id
IRF7id,upregulated,NFKB2id
IRF7id,upregulated,FOXN2id
IRF7id,upregulated,IRF5id
IRF7id,upregulated,MAFFid
IRF7id,upregulated,MTF1id
IRF7id,upregulated,STAT2id
IRF7id,upregulated,HESX1id
IRF7id,upregulated,ZNF416id
IRF7id,upregulated,SPIBid
IRF7id,upregulated,RFX5id
IRF7id,upregulated,ZBTB43id
IRF7id,upregulated,MAXid
IRF7id,upregulated,TBX21id
IRF7id,upregulated,HDXid
IRF7id,upregulated,IRF9id
IRF7id,upregulated,ZNF136id
IRF7id,upregulated,NFKB1id
IRF7id,upregulated,GTF2Bid
IRF7id,upregulated,EGR4id
IRF7id,upregulated,ZNF200id
IRF7id,upregulated,BAZ2Aid
IRF7id,upregulated,BATF2id
IRF7id,upregulated,BATF3id
IRF7id,upregulated,SP110id
IRF7id,upregulated,STAT1id
IRF7id,upregulated,ATF3id
IRF7id,upregulated,CREMid
ZNF609id,upregulated,SRCAPid
ZNF148id,upregulated,MYSM1id
ZNF148id,upregulated,ZNF254id
ZNF148id,upregulated,CDC5Lid
ZNF148id,upregulated,MGAid
ZNF148id,upregulated,PURAid
ZNF148id,upregulated,ZNF708id
ZNF148id,upregulated,CGGBP1id
ZNF148id,upregulated,ELK4id
ZNF148id,upregulated,ZBTB26id
ZNF148id,upregulated,ZBTB33id
ZNF148id,upregulated,AHCTF1id
ZNF148id,upregulated,ZNF280Did
ZNF148id,upregulated,NCOA2id
ZNF148id,upregulated,ZNF322id
TFDP1id,upregulated,CDX4id
TFDP1id,upregulated,ZNF90id
TFDP1id,upregulated,ZNF732id
TFDP1id,upregulated,MEOX2id
TFDP1id,upregulated,TFECid
TFDP1id,upregulated,LIN28Aid
TFDP1id,upregulated,ZNF813id
TFDP1id,upregulated,ZNF138id
TFDP1id,upregulated,TCF4id
TFDP1id,upregulated,ZNF680id
TFDP1id,upregulated,HES6id
TFDP1id,upregulated,PRDM5id
TFDP1id,upregulated,ZNF99id
TFDP1id,upregulated,AIREid
TFDP1id,upregulated,IKZF1id
TFDP1id,upregulated,ZNF33Aid
TFDP1id,upregulated,LYL1id
TFDP1id,upregulated,CEBPEid
TFDP1id,upregulated,OTX2id
TFDP1id,upregulated,ZNF691id
TFDP1id,upregulated,ZNF334id
TFDP1id,upregulated,TFCP2id
TFDP1id,upregulated,MTERF2id
TFDP1id,upregulated,MTERF3id
TFDP1id,upregulated,ZNF492id
TFDP1id,upregulated,ZNF660id
TFDP1id,upregulated,ZNF486id
TFDP1id,upregulated,HMG20Aid
TFDP1id,upregulated,ARID2id
TFDP1id,upregulated,ZBTB14id
TFDP1id,upregulated,SOHLH2id
TFDP1id,upregulated,ZNF512id
TFDP1id,upregulated,ERGid
TFDP1id,upregulated,ZNF681id
TFDP1id,upregulated,FOXC2id
TFDP1id,upregulated,OVOL3id
TFDP1id,upregulated,MESP1id
TFDP1id,upregulated,ZNF814id
TFDP1id,upregulated,ZNF665id
TFDP1id,upregulated,HAND2id
TFDP1id,upregulated,NFE4id
TFDP1id,upregulated,ZNF718id
TFDP1id,upregulated,NKRFid
TFDP1id,upregulated,ZNF32id
TFDP1id,upregulated,MYCNid
TFDP1id,upregulated,ZNF485id
TFDP1id,upregulated,MTERF1id
TFDP1id,upregulated,ETV2id
TFDP1id,upregulated,ZNF239id
TFDP1id,upregulated,IKZF4id
TFDP1id,upregulated,TBX20id
TFDP1id,upregulated,ZNF30id
TFDP1id,upregulated,HOXD12id
TFDP1id,upregulated,ZFP69id
