source,relation,target
E2F2,downregulated,KLF1
E2F2,downregulated,GATA1
E2F2,downregulated,GFI1B
PRR12,downregulated,ZNF646
PRR12,downregulated,ZNF335
PRR12,downregulated,CIC
PRR12,downregulated,WIZ
PRR12,downregulated,KMT2B
PRR12,downregulated,ZNF865
MYSM1,downregulated,ZBTB37
MYSM1,downregulated,ZNF254
MYSM1,downregulated,ZNF292
MYSM1,downregulated,GPBP1
MYSM1,downregulated,CDC5L
MYSM1,downregulated,ZNF148
MYSM1,downregulated,ZUP1
MYSM1,downregulated,IKZF5
MYSM1,downregulated,MGA
MYSM1,downregulated,ZNF430
MYSM1,downregulated,TOPORS
MYSM1,downregulated,ZNF721
MYSM1,downregulated,ZNF107
MYSM1,downregulated,DMTF1
MYSM1,downregulated,THAP6
MYSM1,downregulated,CREB1
MYSM1,downregulated,ZBTB41
MYSM1,downregulated,ZBTB11
MYSM1,downregulated,ZZZ3
MYSM1,downregulated,ARID2
MYSM1,downregulated,ZNF451
MYSM1,downregulated,ZNF182
MYSM1,downregulated,ZNF644
MYSM1,downregulated,ZNF507
MYSM1,downregulated,RBAK
MYSM1,downregulated,MTF2
MYSM1,downregulated,KIN
MYSM1,downregulated,ZNF326
MYSM1,downregulated,ZNF24
MYSM1,downregulated,ZNF131
MYSM1,downregulated,ZNF518A
MYSM1,downregulated,ZBTB33
MYSM1,downregulated,CREBZF
MYSM1,downregulated,ZKSCAN8
MYSM1,downregulated,SON
MYSM1,downregulated,SP3
MYSM1,downregulated,ZNF678
MYSM1,downregulated,ZNF354B
MYSM1,downregulated,ZNF12
MYSM1,downregulated,POU2F1
MYSM1,downregulated,KMT2A
MYSM1,downregulated,ZNF280C
MYSM1,downregulated,LCOR
MYSM1,downregulated,SPEN
MYSM1,downregulated,ZNF322
MYSM1,downregulated,MYNN
ZMAT4,downregulated,CDX4
ZMAT4,downregulated,TBR1
ZMAT4,downregulated,CUX2
ZMAT4,downregulated,TCF21
ZMAT4,downregulated,NHLH2
RFX8,downregulated,ZNF175
RFX8,downregulated,SP140
RFX8,downregulated,FOSL1
RFX8,downregulated,E2F7
RFX8,downregulated,ZNF699
RFX8,downregulated,MYBL1
RFX8,downregulated,FOXD1
RFX8,downregulated,ZNF215
RFX8,downregulated,HIVEP3
RFX8,downregulated,ARNTL2
IKZF3,downregulated,IRF4
IKZF3,downregulated,SP140
IKZF3,downregulated,ZBTB32
IKZF3,downregulated,PAX5
IKZF3,downregulated,FOXP3
IKZF3,downregulated,SPIC
IKZF3,downregulated,SPIB
IKZF3,downregulated,POU2AF1
SAFB2,downregulated,CCDC17
SALL2,downregulated,PRDM14
SALL2,downregulated,HES3
SALL2,downregulated,ZSCAN10
MYT1,downregulated,NEUROD1
MYT1,downregulated,PHOX2B
MYT1,downregulated,MYT1
MYT1,downregulated,LBX1
MYT1,downregulated,ZNF774
MYT1,downregulated,ST18
MYT1,downregulated,GSX1
MYT1,downregulated,SKOR1
MYT1,downregulated,POU4F1
MYT1,downregulated,RFX4
MYT1,downregulated,UNCX
MYT1,downregulated,CUX2
MYT1,downregulated,POU3F4
MYT1,downregulated,TLX3
MYT1,downregulated,NEUROD6
MYT1,downregulated,BHLHE22
MYT1,downregulated,NEUROG1
MYT1,downregulated,INSM1
MYT1,downregulated,ONECUT1
MYT1,downregulated,BARHL2
MYT1,downregulated,NHLH1
MYT1,downregulated,ZNF540
MYT1,downregulated,ASCL1
MYT1,downregulated,ZNF804B
MYT1,downregulated,DACH2
MYT1,downregulated,SCRT1
MYT1,downregulated,MYT1L
MYT1,downregulated,DBX1
MYT1,downregulated,ZIC4
MYT1,downregulated,NPAS3
MYT1,downregulated,ZNF536
MYT1,downregulated,PTF1A
MYT1,downregulated,SCRT2
HMGA2,downregulated,E2F2
HMGA2,downregulated,SNAI2
HMGA2,downregulated,RFX8
HMGA2,downregulated,TFAP2C
HMGA2,downregulated,HMGA2
HMGA2,downregulated,DNTTIP1
HMGA2,downregulated,SOX7
HMGA2,downregulated,DLX1
HMGA2,downregulated,TFDP1
HMGA2,downregulated,FOXA2
HMGA2,downregulated,PCGF6
HMGA2,downregulated,CSRNP1
HMGA2,downregulated,CENPA
HMGA2,downregulated,HOXB2
