source,target,direction
TEAD1,SOX6,+
TEAD1,USF3,+
TEAD1,RBSN,+
TEAD1,ZFHX4,+
TEAD1,NCOA2,-
TEAD1,UBP1,+
TEAD1,STAT5B,-
MYPOP,ZNF628,+
MYPOP,ZNF865,+
EBF2,BNC2,-
EBF2,PAX3,-
EBF2,MEOX1,-
JRK,ZSCAN32,-
ZBTB26,ZNF624,-
ZBTB26,ZNF148,-
ZBTB26,ZNF780B,-
ZBTB26,SMAD5,-
ZBTB26,ZNF283,-
ZBTB26,LCORL,-
ZBTB26,THAP6,-
ZBTB26,ZZZ3,-
ZBTB26,ZNF260,+
ZBTB26,ZNF507,-
ZBTB26,GABPA,-
ZBTB26,CLOCK,-
ZBTB26,ZBTB26,-
ZBTB26,AEBP2,-
ZBTB26,ZKSCAN8,-
ZBTB26,ZNF678,-
SOX8,SOX10,-
ZBTB45,PRR12,+
ZBTB45,ERF,+
ZBTB45,ZNF771,+
ZBTB45,SAFB2,-
ZBTB45,ZNF358,+
ZBTB45,MAZ,+
ZBTB45,ZNF428,+
ZBTB45,ZNF777,+
ZBTB45,ZNF48,+
ZBTB45,ELK1,-
ZBTB45,ZBTB7A,-
ZBTB45,SP2,-
ZBTB45,RELB,-
ZBTB45,ZNF414,-
ZBTB45,NR1H2,+
ZBTB45,ZNF511,+
ZBTB45,ZNF319,-
ZBTB45,ZBED1,+
ZBTB45,ZNF746,-
ZBTB45,ZNF524,+
ZBTB45,THAP7,+
ZBTB45,ZNF598,+
ZBTB45,RELA,+
ZBTB45,GMEB2,-
ZBTB45,FOXK2,+
ZBTB45,GATAD2A,-
ZBTB45,SNAPC2,-
ZBTB45,AKAP8,+
ZBTB45,CXXC1,+
ZBTB45,DEAF1,+
ZBTB45,DOT1L,-
ZBTB45,LYL1,+
ZBTB45,SNAPC4,+
ZBTB45,JUND,-
ZBTB45,PREB,+
ZBTB45,ZNF689,-
ZBTB45,ZNF324B,+
ZBTB45,SCX,-
ZBTB45,ZNF213,+
ZBTB45,ZNF768,+
ZBTB45,SAFB,-
ZBTB45,ZNF446,-
ZBTB45,ZNF212,+
ZBTB45,ZBTB17,+
ZBTB45,ZNF646,+
ZBTB45,ZNF296,-
ZBTB45,ZNF282,+
ZBTB45,ZNF688,+
ZBTB45,FBXL19,+
ZBTB45,DRAP1,-
ZBTB45,ZBTB48,-
ZBTB45,NFKB2,-
ZBTB45,ZNF574,-
ZBTB45,ZNF324,+
ZBTB45,ZGPAT,-
ZBTB45,MAFG,-
ZBTB45,ZNF575,+
ZBTB45,SLC2A4RG,+
ZBTB45,ZNF579,+
ZBTB45,ZFP41,+
ZBTB45,ZNF142,-
ZBTB45,ZNF628,+
ZBTB45,HSF1,+
ZBTB45,THAP4,+
ZBTB45,FLYWCH1,+
ZBTB45,REXO4,+
ZBTB45,E4F1,-
ZBTB45,USF2,-
ZBTB45,ZNF335,+
ZBTB45,ZNF174,+
ZBTB45,ZNF837,-
ZBTB45,HIC1,-
ZBTB45,ZNF707,+
ZBTB45,CIC,-
ZBTB45,THAP11,+
ZBTB45,NAIF1,+
ZBTB45,ZNF576,+
ZBTB45,KLF16,+
ZBTB45,MBD3,-
ZBTB45,WIZ,-
ZBTB45,NR2F6,+
ZBTB45,KMT2B,-
ZBTB45,ARID5A,+
ZBTB45,PLAGL2,-
ZBTB45,CENPB,+
ZBTB45,GLI4,-
ZBTB45,SKI,+
ZBTB45,MYPOP,-
ZBTB45,FIZ1,-
ZBTB45,ZNF580,+
ZBTB45,ZNF581,+
ZBTB45,ZBTB45,+
ZBTB45,E2F4,+
ZBTB45,TFE3,-
ZBTB45,ZNF865,+
ZBTB45,ZNF653,-
ZBTB45,ZNF205,-
ZBTB45,SIX5,-
ZBTB45,ZNF784,+
ZBTB45,IRF3,+
ZBTB45,ZNF526,-
ZBTB45,ZFPM1,+
ZBTB45,ZNF500,-
ZBTB45,FOXK1,-
ZBTB45,TCF3,+
ZBTB45,ZNF687,+
ZBTB45,ZNF672,-
ZBTB45,ZNF764,+
ZBTB45,ESRRA,+
ZBTB45,ZNF668,-
ZBTB45,ZNF787,-
ZBTB45,ZNF710,+
ZBTB45,PIN1,-
ZBTB45,ZNF444,-
ZBTB45,TIGD5,+
ZBTB45,ZNF408,-
ZBTB45,ZNF316,-
MYBL2,CDC5L,-
MYBL2,PCGF6,-
MYBL2,MTERF3,-
MYBL2,CHCHD3,-
MYBL2,CEBPZ,-
MYBL2,CENPS,-
MYBL2,PA2G4,-
PRRX1,ATF6B,+
PRRX1,SNAI2,-
PRRX1,RFX8,-
PRRX1,ZNF732,-
PRRX1,HMGA2,+
PRRX1,MEOX2,-
PRRX1,ZNF395,+
PRRX1,FOXS1,-
PRRX1,OSR1,-
PRRX1,BNC1,+
PRRX1,MYOG,-
PRRX1,TWIST1,+
PRRX1,TBX2,+
PRRX1,OSR2,-
PRRX1,TBX18,-
PRRX1,RUNX1,+
PRRX1,TBX3,+
PRRX1,CREB3L2,-
PRRX1,HOXC8,+
PRRX1,ZNF18,-
PRRX1,BNC2,+
PRRX1,SOX17,-
PRRX1,ZNF469,-
PRRX1,PRRX2,-
PRRX1,TCF21,-
PRRX1,TWIST2,+
PRRX1,HIC1,-
PRRX1,KLF17,-
PRRX1,TBX15,-
PRRX1,SOX18,-
PRRX1,HAND2,-
PRRX1,MESP2,+
PRRX1,NR0B1,+
PRRX1,TCF7,-
PRRX1,RUNX2,+
PRRX1,EPAS1,+
PRRX1,PITX3,+
PRRX1,PRRX1,-
PRRX1,NME2,+
PRRX1,NFATC4,-
PRRX1,NFIC,+
PRRX1,ELK3,-
PRRX1,AEBP1,-
PRRX1,TBX20,-
PRRX1,MYOD1,-
PRRX1,ZNF70,-
PRRX1,CREB3L1,+
PRRX1,HOXA11,-
PRRX1,ZBTB47,-
PRRX1,GLIS1,+
PRRX1,NR2F2,-
PRRX1,GLI1,+
PRRX1,HOXD9,-
PRRX1,GLI3,+
PRRX1,ZNF541,-
PRRX1,PPARG,-
NR1H4,ISX,-
NR1H4,CDX2,-
NR1H4,MLXIPL,-
NR1H4,HNF4A,+
NR1H4,TBX10,-
NR1H4,HNF1A,-
NR1H4,TBX4,-
NR1H4,NR1I2,+
NR1H4,ONECUT1,+
NR1H4,NR1I3,-
NR1H4,MIXL1,+
NR1H4,NR1H4,-
NR1H4,SRY,+
NR1H4,CREB3L3,+
NFATC4,SGSM2,-
NFATC4,NFATC4,+
NFATC4,CREB3L1,+
NFATC4,GLIS1,+
POU3F2,NEUROD4,+
POU3F2,ST18,+
POU3F2,GSX1,+
POU3F2,RFX4,+
POU3F2,POU3F4,-
POU3F2,ZNF491,-
POU3F2,BHLHE22,-
ELF3,FOXN1,+
TBX21,IKZF3,+
TBX21,ZNF831,+
TBX21,FOXP3,-
TBX21,EOMES,-
TBX21,TBX21,-
TBX21,SCML4,+
TBX21,HSF5,+
TBX21,ZNF683,+
HSF4,ZNF446,+
HSF4,ZNF276,+
HSF4,GLI4,+
HSF4,ZNF692,+
HSF4,HSF4,+
HSF4,MZF1,+
ETV4,FOXM1,+
ZNF697,ZNF222,+
ZNF474,TIGD4,-
SRY,ZFY,-
BCL6B,SOX17,+
BCL6B,ERG,-
BCL6B,NR1I3,+
BCL6B,SOX18,+
BCL6B,TAL1,-
BCL6B,ZNF366,+
CREB3L3,MLXIPL,-
CREB3L3,HNF4A,-
CREB3L3,TBX10,+
CREB3L3,HNF1A,-
CREB3L3,NR1I2,-
CREB3L3,NR1I3,-
CREB3L3,NR1H4,+
CREB3L3,CREB3L3,-
IRF9,BATF2,+
AEBP1,FOXS1,-
AEBP1,TGIF2LX,-
AEBP1,ZNF860,-
AEBP1,YY2,-
AEBP1,ERG,+
AEBP1,PRRX2,+
AEBP1,FOXC2,+
AEBP1,ZBTB8A,-
AEBP1,NPAS1,+
AEBP1,FLI1,+
AEBP1,MEOX1,+
AEBP1,SHOX,-
AEBP1,MYBL2,+
AEBP1,NME2,-
AEBP1,KLF14,-
AEBP1,FOXD4L4,-
AEBP1,PAX1,-
AEBP1,HOXD12,+
AEBP1,HOXC5,+
AEBP1,HOXB7,+
AEBP1,HOXC11,-
AEBP1,MYF5,-
NFKB1,MSC,+
NFKB1,IRF1,+
NFKB1,NFAT5,+
NFKB1,RELB,+
NFKB1,ETV3L,+
NFKB1,NR4A3,+
NFKB1,NFE2L3,+
NFKB1,PLSCR1,+
NFKB1,ZBTB32,-
NFKB1,ETV7,-
NFKB1,ZNF267,+
NFKB1,REL,+
NFKB1,NFKB2,+
NFKB1,ETV6,+
NFKB1,HIVEP2,+
NFKB1,STAT4,+
NFKB1,ZFHX2,+
NFKB1,TBX21,+
NFKB1,NFKB1,+
NPAS3,NEUROD4,-
NPAS3,GSX1,+
NPAS3,ZBTB8B,-
NPAS3,PAX6,-
NPAS3,RFX4,-
NPAS3,POU3F4,-
NPAS3,HES3,-
NPAS3,ZNF491,-
NPAS3,HOXB1,-
NPAS3,NEUROG2,-
NPAS3,NEUROG1,-
NPAS3,INSM1,-
NPAS3,ONECUT1,-
NPAS3,HES5,-
NPAS3,ZNF43,-
NPAS3,CSRNP3,-
NPAS3,ZNF69,-
NPAS3,POU3F3,-
NPAS3,SOX21,-
NPAS3,ZNF713,-
NPAS3,ONECUT2,-
NPAS3,SALL3,+
NPAS3,POU3F2,-
NPAS3,CXXC4,-
NPAS3,SOX3,-
NPAS3,ZNF730,-
EBF3,MYF6,-
SCML4,ZNF831,+
SCML4,ZNF683,-
SOX3,POU3F4,-
ZNF678,MYSM1,-
ZNF678,ZNF292,-
ZNF678,ZNF148,-
ZNF678,ZNF780B,-
ZNF678,SMAD5,-
ZNF678,ZNF283,-
ZNF678,ZNF708,-
ZNF678,LCORL,-
ZNF678,DMTF1,-
ZNF678,ZNF451,-
ZNF678,ZBTB44,-
ZNF678,ZNF644,-
ZNF678,ZNF141,-
ZNF678,ZNF507,-
ZNF678,GABPA,-
ZNF678,ZNF484,-
ZNF678,THAP9,+
ZNF678,ZNF518A,-
ZNF678,ZKSCAN8,-
ZNF678,SP3,-
ZNF678,ZNF678,-
ZNF678,NFYB,-
ZNF678,USF3,-
NKX62,SOX10,-
ZNF12,MYSM1,-
ZNF12,ZNF254,-
ZNF12,ZNF148,-
ZNF12,IKZF5,-
ZNF12,ZNF451,-
ZNF12,ZBTB6,+
ZNF12,ZNF644,-
ZNF12,RBAK,+
TBX20,IRX4,-
TBX20,TBX5,-
TBX20,TBX20,-
OLIG1,SOX10,+
KMT2A,ZNF417,+
KMT2A,ZBTB37,-
KMT2A,ZNF445,-
KMT2A,ZNF546,+
KMT2A,ZNF493,+
KMT2A,ZNF891,-
KMT2A,ZNF236,+
KMT2A,ZNF449,+
KMT2A,ZNF571,+
KMT2A,ASH1L,+
KMT2A,KMT2A,+
KMT2A,ZSCAN30,-
KMT2A,ZNF782,+
KMT2A,HMBOX1,-
ZNF121,HES3,-
ZSCAN30,POU5F2,-
SNAI3,VENTX,-
SNAI3,CEBPE,-
RLF,ZNF292,+
RLF,ZNF791,-
RLF,ZNF264,-
RLF,ZNF654,+
RLF,ZNF543,-
RLF,ZNF136,-
RLF,RLF,+
NFIL3,EGR3,+
NFIL3,CCDC17,+
NFIL3,NR4A2,+
NFIL3,OVOL1,+
NFIL3,ETV3L,+
NFIL3,NR4A3,+
NFIL3,CEBPD,+
NFIL3,ZNF425,+
NFIL3,MAFA,+
NFIL3,BCL6,+
NFIL3,FOS,+
NFIL3,CEBPB,+
NFIL3,ZNF34,+
NFIL3,NR4A1,+
NFIL3,ZNF653,+
NFIL3,RBPJL,+
NFIL3,MAFB,+
NFIL3,ZNF394,+
NFIL3,EGR4,-
NFIL3,NFIL3,-
NFIL3,FOSB,+
EHF,BARX2,+
EHF,OVOL1,-
EHF,IRF6,+
EHF,POU2F3,+
EHF,ZNF750,-
EHF,OVOL2,+
EHF,ELF3,+
EHF,FOXN1,-
EHF,EHF,+
NKX25,RXRG,-
NKX25,HIF3A,+
NKX25,TBX5,-
NKX25,L3MBTL4,-
NKX25,TBX20,-
ZNF804A,SKOR2,-
ZNF804A,NEUROD4,-
ZNF804A,PHOX2B,-
ZNF804A,DRGX,-
ZNF804A,MYT1,-
ZNF804A,RXRG,-
ZNF804A,ST18,-
ZNF804A,POU4F2,+
ZNF804A,CUX2,-
ZNF804A,POU3F4,-
ZNF804A,NEUROD6,+
ZNF804A,NEUROG1,-
ZNF804A,CAMTA1,-
ZNF804A,ASCL1,-
ZNF804A,CSRNP3,-
ZNF804A,ZNF804B,-
ZNF804A,DACH2,-
ZNF804A,SCRT1,-
ZNF804A,MYT1L,-
ZNF804A,ZNF536,-
ZNF804A,NEUROD2,-
ZNF804A,SCRT2,-
HOXB3,HOXA2,+
BATF2,IRF2,+
BATF2,IRF1,+
BATF2,RBCK1,+
BATF2,GPBP1,+
BATF2,IRF4,+
BATF2,IRF7,+
BATF2,ZNF670,+
BATF2,ASCL2,+
BATF2,ETV3L,-
BATF2,TRAFD1,+
BATF2,ZBTB42,+
BATF2,PLSCR1,+
BATF2,SP140,+
BATF2,SP100,+
BATF2,USF1,+
BATF2,SP140L,+
BATF2,ZBTB32,-
BATF2,ZNF107,+
BATF2,ETV7,+
BATF2,BATF,+
BATF2,ZNF267,+
BATF2,MTF1,+
BATF2,STAT2,+
BATF2,HESX1,+
BATF2,RFX5,+
BATF2,ZBTB43,+
BATF2,STAT4,+
BATF2,MAX,+
BATF2,RBPJL,+
BATF2,ZNF442,-
BATF2,HDX,+
BATF2,IRF9,+
BATF2,ZNF136,+
BATF2,GTF2B,+
BATF2,ZNF200,+
BATF2,BAZ2A,+
BATF2,BATF2,+
BATF2,BATF3,+
BATF2,SP110,+
BATF2,STAT1,+
BATF2,MXD1,+
ZBED6,ZBTB37,+
ZBED6,ZNF546,+
ZBED6,ZNF81,-
ZBED6,THAP6,+
ZBED6,ZNF573,-
SRCAP,SP2,-
SRCAP,ZNF384,-
SRCAP,BPTF,+
SRCAP,NR2C2,-
SRCAP,ATF7,-
SRCAP,KMT2B,-
SRCAP,ZNF592,-
SRCAP,ZKSCAN8,-
SRCAP,ASH1L,-
SRCAP,MBD6,-
SRCAP,KMT2A,-
SRCAP,BAZ2A,-
SRCAP,USF3,-
SRCAP,SRCAP,-
BATF3,GPBP1,+
BATF3,NFAT5,+
BATF3,IRF7,+
BATF3,ASCL2,+
BATF3,ETV3L,+
BATF3,TRAFD1,+
BATF3,NFE2L3,+
BATF3,RELA,+
BATF3,PLSCR1,+
BATF3,CREB1,+
BATF3,ETV7,+
BATF3,ZNF267,-
BATF3,REL,+
BATF3,HESX1,+
BATF3,RBPJL,-
BATF3,HDX,+
BATF3,IRF9,+
BATF3,NFKB1,+
BATF3,BATF2,+
BATF3,STAT1,+
FOSB,EGR3,+
FOSB,ZNF597,+
FOSB,ZNF565,+
FOSB,NPAS4,+
FOSB,ZNF34,+
FOSB,ZIM3,+
FOSB,NR4A1,+
FOSB,DUXA,+
FOSB,EGR4,-
FOSB,FOSB,+
SPEN,PRR12,-
SPEN,SP2,-
SPEN,SAFB,-
SPEN,ZNF142,-
SPEN,KMT2B,-
SPEN,SON,-
SPEN,KMT2A,-
SPEN,BAZ2A,-
SPEN,SRCAP,-
SPEN,SPEN,-
RORB,NEUROD4,+
RORB,PHOX2B,+
RORB,DRGX,+
RORB,RXRG,-
RORB,TBR1,+
RORB,ST18,-
RORB,RFX4,-
RORB,NEUROD6,-
RORB,CAMTA1,-
RORB,ZNF804B,-
RORB,ESRRG,-
RORB,INSM2,-
RORB,DACH2,-
RORB,MYT1L,-
RORB,ZNF385D,+
RORB,NPAS3,-
RORB,ZNF536,-
RORB,NEUROD2,-
RORB,SOHLH1,-
RORB,ARX,-
SNAPC5,ZNF771,-
SNAPC5,NEUROD1,+
SNAPC5,ZNF428,-
SNAPC5,ZNF511,+
SNAPC5,TERB1,+
SNAPC5,MTERF3,+
SNAPC5,DRAP1,-
SNAPC5,THYN1,+
SNAPC5,FOXP3,-
SNAPC5,ZNF706,-
SNAPC5,CAMTA1,+
SNAPC5,RHOXF2,+
SNAPC5,NR1I3,+
SNAPC5,CHCHD3,+
SNAPC5,MXD3,-
SNAPC5,ZNF576,+
SNAPC5,FOXH1,-
SNAPC5,ZNF32,+
SNAPC5,NME2,-
SNAPC5,CENPS,+
SNAPC5,HMGN3,+
SNAPC5,YBX1,-
SNAPC5,GTF3A,+
SNAPC5,NEUROD2,+
SNAPC5,BATF3,+
SNAPC5,SNAPC5,-
SNAPC5,PIN1,-
SNAPC5,CENPX,+
SNAPC5,PA2G4,-
SP110,TFEC,+
SP110,IRF7,-
SP110,SP140,-
SP110,SP100,+
SP110,SPI1,+
SP110,ZBTB32,-
SP110,ETV7,+
SP110,CTCFL,+
SP110,RHOXF2,+
SP110,HESX1,-
SP110,NFE4,+
SP110,RHOXF2B,+
SP110,OLIG1,-
SP110,BATF2,-
SP110,SP110,+
SCRT2,NEUROD4,+
SCRT2,NEUROD1,-
SCRT2,PHOX2B,+
SCRT2,MYT1,-
SCRT2,ST18,+
SCRT2,POU4F2,+
SCRT2,UNCX,-
SCRT2,TLX3,+
SCRT2,BHLHE22,+
SCRT2,NEUROG3,+
SCRT2,NEUROG2,-
SCRT2,NEUROG1,-
SCRT2,INSM1,+
SCRT2,NHLH1,+
SCRT2,CAMTA1,-
SCRT2,BARHL1,+
SCRT2,ZNF540,-
SCRT2,ZNF804B,-
SCRT2,INSM2,-
SCRT2,SCRT1,+
SCRT2,MYT1L,-
SCRT2,NEUROD2,+
SCRT2,SCRT2,+
GLIS3,GLIS3,-
ZBED4,E2F2,-
ZBED4,ZBTB24,-
ZBED4,PATZ1,-
ZBED4,TFAP4,-
ZBED4,FOXK2,-
ZBED4,AKAP8,-
ZBED4,GMEB1,-
ZBED4,ZNF689,-
ZBED4,NRF1,-
ZBED4,SAFB,-
ZBED4,ZNF574,-
ZBED4,POGK,-
ZBED4,ZNF142,-
ZBED4,ZNF786,-
ZBED4,REXO4,-
ZBED4,ZNF576,-
ZBED4,TBP,-
ZBED4,PLAGL2,-
ZBED4,NKRF,-
ZBED4,FIZ1,-
ZBED4,CTCF,-
ZBED4,TTF1,-
ZBED4,ZBTB9,-
ZBED4,SON,-
ZBED4,TERF2,-
ZBED4,ZNF764,-
ZBED4,KDM2B,-
ZNF444,PRR12,+
ZNF444,ZNF775,+
ZNF444,ZNF428,+
ZNF444,ZNF414,+
ZNF444,ZNF598,-
ZNF444,ZNF446,+
ZNF444,ZBTB17,+
ZNF444,ZNF574,-
ZNF444,ZGPAT,+
ZNF444,ZNF579,+
ZNF444,ZNF628,-
ZNF444,THAP3,-
ZNF444,E4F1,-
ZNF444,ZNF837,-
ZNF444,MBD3,+
ZNF444,WIZ,-
ZNF444,GLI4,-
ZNF444,ZNF580,+
ZNF444,ZBTB45,-
ZNF444,ZNF865,-
ZNF444,ZNF205,+
ZNF444,SIX5,-
ZNF444,ZNF500,+
ZNF444,ZNF668,-
ZNF444,ZNF787,-
ZNF444,PIN1,-
ZNF444,ZNF444,+
ZNF444,TIGD5,+
ZNF444,ZNF316,-
HEYL,MEOX2,+
HEYL,LBX1,+
HEYL,RXRG,-
HEYL,ZNF423,+
HEYL,MYOG,+
HEYL,RFX4,-
HEYL,HAND2,-
HEYL,TBX5,-
HEYL,PAX1,-
ZNF408,THAP7,+
ZNF408,ZNF296,+
ZNF408,THAP3,+
ZNF408,E4F1,+
ZNF408,ZNF837,+
ZNF408,THAP11,+
ZNF408,ZNF787,+
ZNF408,ZNF408,+
ZNF93,CDX4,+
ZNF93,ZNF90,+
ZNF93,ZNF732,+
ZNF93,LIN28A,+
ZNF93,FOXB2,-
ZNF93,ZNF138,+
ZNF93,PRDM14,+
ZNF93,CENPA,+
ZNF93,ZNF695,-
ZNF93,LIN54,-
ZNF93,HES3,-
ZNF93,ZNF519,+
ZNF93,ZSCAN10,-
ZNF93,MTF2,-
ZNF93,THAP9,+
ZNF93,ZNF724,+
ZNF93,NANOG,-
ZNF93,ZNF678,+
ZNF93,POU2F1,+
ZNF93,ZNF101,-
ZNF93,ZNF100,+
ZNF93,ZNF730,+
GLMP,GLMP,+
GLI3,NEUROD4,+
GLI3,MEOX2,-
GLI3,LBX1,-
GLI3,RXRG,-
GLI3,SOX5,-
GLI3,ZNF423,-
GLI3,FOXS1,-
GLI3,ZNF521,-
GLI3,SOX1,+
GLI3,FEZF1,-
GLI3,TSHZ2,-
GLI3,KLF8,-
GLI3,ZNF154,+
GLI3,HSFX2,-
GLI3,SOX11,-
GLI3,LHX9,+
GLI3,ZNF418,+
GLI3,RFX4,-
GLI3,OLIG3,+
GLI3,POU3F4,-
GLI3,ZNF334,-
GLI3,HNF4G,-
GLI3,ZNF385B,-
GLI3,ZFPM2,-
GLI3,BNC2,-
GLI3,ZSCAN1,-
GLI3,NEUROG1,-
GLI3,SOHLH2,-
GLI3,DMRT2,-
GLI3,LMX1A,-
GLI3,PAX7,-
GLI3,PURG,-
GLI3,CSRNP3,+
GLI3,HOXA2,+
GLI3,DACH2,-
GLI3,TFAP2B,-
GLI3,EBF2,+
GLI3,PRRX1,-
GLI3,NFATC4,-
GLI3,ZNF454,-
GLI3,CXXC4,-
GLI3,ZIC4,+
GLI3,ZIC1,+
GLI3,ZNF135,+
GLI3,TFAP2E,-
GLI3,DACH1,-
GLI3,NPAS3,-
GLI3,PKNOX2,-
GLI3,RARB,-
GLI3,DZIP1,-
GLI3,MYOD1,-
GLI3,ALX4,-
GLI3,ALX1,-
GLI3,SOX6,-
GLI3,HOXC11,-
GLI3,ZNF730,-
GLI3,PBX1,+
PA2G4,ZNF534,-
PA2G4,E2F2,-
PA2G4,SPDEF,-
PA2G4,SKOR2,-
PA2G4,ZNF35,-
PA2G4,HHEX,-
PA2G4,ZNF488,-
PA2G4,GLYR1,-
PA2G4,NEUROD4,-
PA2G4,TP53,-
PA2G4,ISX,-
PA2G4,CDX4,+
PA2G4,TAL2,+
PA2G4,IKZF3,-
PA2G4,ZBTB39,-
PA2G4,ZNF850,-
PA2G4,ATF5,-
PA2G4,SALL2,-
PA2G4,PHOX2B,-
PA2G4,ZNF90,+
PA2G4,RAX,+
PA2G4,NR5A2,-
PA2G4,MAZ,-
PA2G4,ZNF732,+
PA2G4,MYT1,-
PA2G4,HMGA2,-
PA2G4,DNTTIP1,-
PA2G4,IRF4,-
PA2G4,CDC5L,-
PA2G4,ZNF48,-
PA2G4,HNF4A,-
PA2G4,TIGD3,+
PA2G4,ELK1,-
PA2G4,ZNF280A,-
PA2G4,ZNF275,-
PA2G4,ZNF714,+
PA2G4,DLX1,-
PA2G4,ETS2,-
PA2G4,LIN28A,+
PA2G4,ZNF114,+
PA2G4,OTX1,-
PA2G4,MNX1,-
PA2G4,TFDP1,-
PA2G4,ZNF813,+
PA2G4,ZNF670,-
PA2G4,FOXB2,-
PA2G4,ZNF616,-
PA2G4,VENTX,-
PA2G4,ZBTB24,+
PA2G4,PCGF6,-
PA2G4,YBX3,-
PA2G4,TERF1,-
PA2G4,DR1,-
PA2G4,ZNF207,+
PA2G4,OVOL1,+
PA2G4,ZNF138,+
PA2G4,ASCL2,-
PA2G4,SOX15,-
PA2G4,ETV5,-
PA2G4,PRDM14,-
PA2G4,IRF8,+
PA2G4,CHAMP1,-
PA2G4,ZNF648,-
PA2G4,ZNF331,-
PA2G4,ZNF511,-
PA2G4,ZNF587B,-
PA2G4,KLF1,+
PA2G4,FEZF1,-
PA2G4,HES6,-
PA2G4,HNF1A,-
PA2G4,ZC3H8,-
PA2G4,ZBED1,-
PA2G4,PATZ1,-
PA2G4,PRDM5,+
PA2G4,ZNF99,+
PA2G4,CENPA,+
PA2G4,ZNF184,-
PA2G4,TEAD2,-
PA2G4,ZNF664,-
PA2G4,ZNF410,-
PA2G4,GFI1,+
PA2G4,ZNF695,-
PA2G4,NFE2L3,-
PA2G4,TFAP4,-
PA2G4,LIN28B,+
PA2G4,POU5F1,-
PA2G4,PBX3,-
PA2G4,ZSCAN16,-
PA2G4,ZFP91,-
PA2G4,FOXD4L6,-
PA2G4,ZNF649,-
PA2G4,ZNF286B,-
PA2G4,SOX11,-
PA2G4,BHLHA15,-
PA2G4,GATAD2A,-
PA2G4,PLSCR1,-
PA2G4,SP140,-
PA2G4,AKAP8,-
PA2G4,ATF4,-
PA2G4,PRMT3,-
PA2G4,TP73,-
PA2G4,HEY2,-
PA2G4,CEBPG,-
PA2G4,YY2,-
PA2G4,ZBTB2,-
PA2G4,IKZF1,+
PA2G4,ZNF845,+
PA2G4,FOXA1,-
PA2G4,KAT7,+
PA2G4,ZNF552,-
PA2G4,PBX2,-
PA2G4,ZNF589,-
PA2G4,E2F8,-
PA2G4,ZNF799,+
PA2G4,CEBPE,+
PA2G4,GMEB1,-
PA2G4,ZNF57,-
PA2G4,HIC2,+
PA2G4,FOXD3,+
PA2G4,CBX2,-
PA2G4,PREB,-
PA2G4,LIN54,-
PA2G4,ZNF878,+
PA2G4,ZNF689,-
PA2G4,ZNF728,-
PA2G4,OTX2,-
PA2G4,NRF1,-
PA2G4,DNMT1,-
PA2G4,FOS,-
PA2G4,GRHL3,+
PA2G4,ZBTB32,-
PA2G4,HES3,-
PA2G4,ZNF691,+
PA2G4,ZSCAN2,-
PA2G4,PAX5,-
PA2G4,ZNF107,+
PA2G4,TFCP2,-
PA2G4,SAFB,-
PA2G4,ZNF256,-
PA2G4,ZNF468,+
PA2G4,MYB,+
PA2G4,ZNF202,-
PA2G4,ZNF296,-
PA2G4,ZNF888,+
PA2G4,MTERF2,-
PA2G4,TERB1,+
PA2G4,MTERF3,+
PA2G4,ATMIN,-
PA2G4,NR1I2,-
PA2G4,ZNF519,+
PA2G4,FOXD4L1,-
PA2G4,ZFP42,+
PA2G4,ZNF492,-
PA2G4,E2F1,-
PA2G4,NEUROG3,-
PA2G4,ZNF660,-
PA2G4,POU2F3,-
PA2G4,BATF,-
PA2G4,ZNF267,+
PA2G4,GATA1,-
PA2G4,DRAP1,-
PA2G4,PRDM10,+
PA2G4,ZNF486,-
PA2G4,ZNF736,+
PA2G4,ZNF496,-
PA2G4,THYN1,+
PA2G4,ZNF76,-
PA2G4,HMG20A,+
PA2G4,SP8,-
PA2G4,DPF1,+
PA2G4,FOXP3,-
PA2G4,ZNF7,+
PA2G4,NEUROG1,+
PA2G4,TCF20,+
PA2G4,ZBTB14,-
PA2G4,FOSL1,-
PA2G4,ZSCAN10,+
PA2G4,NFYC,-
PA2G4,ZNF146,+
PA2G4,TFCP2L1,-
PA2G4,NR6A1,+
PA2G4,INSM1,+
PA2G4,E2F7,-
PA2G4,ONECUT1,+
PA2G4,FOXN4,+
PA2G4,POGK,-
PA2G4,SLC2A4RG,-
PA2G4,ZSCAN9,-
PA2G4,ZNF512,-
PA2G4,BARHL2,+
PA2G4,ESR2,-
PA2G4,ZNF142,-
PA2G4,PHF20,-
PA2G4,ZNF681,+
PA2G4,ZNF778,-
PA2G4,POU3F1,+
PA2G4,OVOL3,-
PA2G4,ZKSCAN7,-
PA2G4,HMGA1,-
PA2G4,ZNF669,+
PA2G4,HMG20B,-
PA2G4,MESP1,-
PA2G4,MYBL1,-
PA2G4,NANOGP8,-
PA2G4,ZNF706,-
PA2G4,ZNF286A,-
PA2G4,CAMTA1,-
PA2G4,BARHL1,-
PA2G4,ZNF749,-
PA2G4,TRERF1,-
PA2G4,MBD2,-
PA2G4,MTF2,+
PA2G4,RHOXF2,-
PA2G4,TIGD2,-
PA2G4,ZNF346,-
PA2G4,ZNF326,+
PA2G4,ZIK1,-
PA2G4,ZNF544,-
PA2G4,ZNF367,-
PA2G4,FOXM1,+
PA2G4,HES5,-
PA2G4,HESX1,-
PA2G4,ZNF43,+
PA2G4,ZNF823,+
