source,relation,target
PRR12,upregulated,PRR12
PRR12,upregulated,ZNF628
MYSM1,upregulated,MYSM1
MYSM1,upregulated,BPTF
MYSM1,upregulated,ZNF800
MYSM1,upregulated,LCORL
MYSM1,upregulated,CGGBP1
MYSM1,upregulated,THAP5
MYSM1,upregulated,REL
MYSM1,upregulated,FOXN2
MYSM1,upregulated,ZBTB6
MYSM1,upregulated,GABPA
MYSM1,upregulated,ZNF484
MYSM1,upregulated,THAP9
MYSM1,upregulated,ELK4
MYSM1,upregulated,AHCTF1
MYSM1,upregulated,ZNF92
MYSM1,upregulated,ASH1L
MYSM1,upregulated,USF3
SNAI1,upregulated,EGR4
ZMAT4,upregulated,SKOR2
ZMAT4,upregulated,ZMAT4
ZMAT4,upregulated,PRDM14
ZMAT4,upregulated,POU5F1
ZMAT4,upregulated,FEZF2
ZMAT4,upregulated,POU3F4
ZMAT4,upregulated,NEUROD6
ZMAT4,upregulated,ZSCAN10
ZMAT4,upregulated,NPAS4
ZMAT4,upregulated,NANOGP8
ZMAT4,upregulated,ZNF804B
ZMAT4,upregulated,POU6F2
ZMAT4,upregulated,DACH2
ZMAT4,upregulated,MYT1L
ZMAT4,upregulated,SALL3
ZMAT4,upregulated,SOX3
ZMAT4,upregulated,LHX8
ZMAT4,upregulated,BCL11A
MSC,upregulated,ETV3L
RFX8,upregulated,MSC
RFX8,upregulated,RFX8
RFX8,upregulated,ZBTB38
RFX8,upregulated,HMGA2
RFX8,upregulated,MSANTD3
RFX8,upregulated,RBPJ
RFX8,upregulated,POU2F2
RFX8,upregulated,RUNX1
RFX8,upregulated,CREB3L2
RFX8,upregulated,FOXC2
RFX8,upregulated,TWIST2
RFX8,upregulated,KLF17
RFX8,upregulated,NFE4
RFX8,upregulated,RUNX2
RFX8,upregulated,ETS1
RFX8,upregulated,ELK3
IKZF3,upregulated,ZNF683
SAFB2,upregulated,SAFB2
SAFB2,upregulated,ZNF700
SAFB2,upregulated,AKAP8L
SAFB2,upregulated,ZNF133
SAFB2,upregulated,L3MBTL1
SAFB2,upregulated,ZNF691
SAFB2,upregulated,ZNF224
SAFB2,upregulated,SAFB
SAFB2,upregulated,ZNF276
SAFB2,upregulated,ZBTB48
SAFB2,upregulated,ZGPAT
SAFB2,upregulated,ZGLP1
SAFB2,upregulated,E4F1
SAFB2,upregulated,CENPT
SAFB2,upregulated,ZNF333
SAFB2,upregulated,KMT2B
SAFB2,upregulated,GLI4
SAFB2,upregulated,ZNF205
SAFB2,upregulated,ZNF692
SAFB2,upregulated,MZF1
SAFB2,upregulated,MTERF4
SAFB2,upregulated,ZNF789
SAFB2,upregulated,ZNF444
ZNF770,upregulated,PRMT3
SALL2,upregulated,CDX4
MYT1,upregulated,NEUROD4
MYT1,upregulated,DRGX
MYT1,upregulated,SOX1
MYT1,upregulated,POU4F2
MYT1,upregulated,BARHL1
MYT1,upregulated,NHLH2
MYT1,upregulated,INSM2
HMGA2,upregulated,ZNF90
HMGA2,upregulated,RAX
HMGA2,upregulated,ZNF732
HMGA2,upregulated,ZNF714
HMGA2,upregulated,LIN28A
HMGA2,upregulated,LHX1
HMGA2,upregulated,ETV5
HMGA2,upregulated,CHAMP1
HMGA2,upregulated,MSANTD3
HMGA2,upregulated,ZNF511
HMGA2,upregulated,ZNF695
HMGA2,upregulated,LIN28B
HMGA2,upregulated,SOX11
HMGA2,upregulated,PRMT3
HMGA2,upregulated,TCF15
HMGA2,upregulated,DNMT1
HMGA2,upregulated,GRHL3
HMGA2,upregulated,TLX3
HMGA2,upregulated,HMX2
HMGA2,upregulated,MTERF3
HMGA2,upregulated,ZFP42
HMGA2,upregulated,DRAP1
HMGA2,upregulated,DPF1
HMGA2,upregulated,E2F7
HMGA2,upregulated,ONECUT1
HMGA2,upregulated,SLC2A4RG
HMGA2,upregulated,SOX9
HMGA2,upregulated,MYBL1
HMGA2,upregulated,ZNF749
HMGA2,upregulated,PLAGL1
HMGA2,upregulated,ZNF544
HMGA2,upregulated,ZNF367
HMGA2,upregulated,FOXM1
HMGA2,upregulated,CHCHD3
HMGA2,upregulated,SOX2
HMGA2,upregulated,MYC
HMGA2,upregulated,TEAD4
HMGA2,upregulated,TGIF2
HMGA2,upregulated,ZNF215
HMGA2,upregulated,ETS1
HMGA2,upregulated,NME2
HMGA2,upregulated,HOXD11
HMGA2,upregulated,MYCN
HMGA2,upregulated,GLI2
HMGA2,upregulated,ETV4
HMGA2,upregulated,SP5
HMGA2,upregulated,ELK3
HMGA2,upregulated,CENPS
HMGA2,upregulated,GTF3A
HMGA2,upregulated,HOXD12
HMGA2,upregulated,SALL4
HMGA2,upregulated,ZNF730
HMGA2,upregulated,ZNF165
HMGA2,upregulated,MYF5
HMGA2,upregulated,PA2G4
HMGA2,upregulated,ARNTL2
HNF4A,upregulated,CDX2
HNF4A,upregulated,HNF1B
HNF4A,upregulated,NR1I3
HNF4A,upregulated,MIXL1
HNF4A,upregulated,CREB3L3
HNF4A,upregulated,CDX1
TFEC,upregulated,MSC
TFEC,upregulated,TSHZ3
TFEC,upregulated,TFEC
TFEC,upregulated,ETV3L
TFEC,upregulated,SP100
TFEC,upregulated,SPI1
TFEC,upregulated,SP140L
TFEC,upregulated,BHLHE22
TFEC,upregulated,BATF
TFEC,upregulated,HLX
TFEC,upregulated,STAT2
TFEC,upregulated,SPIB
TFEC,upregulated,ZNF438
TFEC,upregulated,ZNF366
TFEC,upregulated,TBX21
TFEC,upregulated,IRF9
TFEC,upregulated,NFE2
TFEC,upregulated,GFI1B
TFEC,upregulated,BATF2
IRF7,upregulated,ZNF274
IRF7,upregulated,IRF2
IRF7,upregulated,IRF1
IRF7,upregulated,RBCK1
IRF7,upregulated,GPBP1
IRF7,upregulated,IRF4
IRF7,upregulated,TFEC
IRF7,upregulated,RELB
IRF7,upregulated,IRF7
IRF7,upregulated,TRAFD1
IRF7,upregulated,IRF8
IRF7,upregulated,RELA
IRF7,upregulated,PLSCR1
IRF7,upregulated,SP140
IRF7,upregulated,SP100
IRF7,upregulated,USF1
IRF7,upregulated,SP140L
IRF7,upregulated,HINFP
IRF7,upregulated,ZNF224
IRF7,upregulated,ZBTB17
IRF7,upregulated,ZNF296
IRF7,upregulated,ETV7
IRF7,upregulated,BATF
IRF7,upregulated,ZNF267
IRF7,upregulated,REL
IRF7,upregulated,FOXP3
IRF7,upregulated,NFKB2
IRF7,upregulated,FOXN2
IRF7,upregulated,IRF5
IRF7,upregulated,MAFF
IRF7,upregulated,MTF1
IRF7,upregulated,STAT2
IRF7,upregulated,HESX1
IRF7,upregulated,ZNF416
IRF7,upregulated,SPIB
IRF7,upregulated,RFX5
IRF7,upregulated,ZBTB43
IRF7,upregulated,MAX
IRF7,upregulated,TBX21
IRF7,upregulated,HDX
IRF7,upregulated,IRF9
IRF7,upregulated,ZNF136
IRF7,upregulated,NFKB1
IRF7,upregulated,GTF2B
IRF7,upregulated,EGR4
IRF7,upregulated,ZNF200
IRF7,upregulated,BAZ2A
IRF7,upregulated,BATF2
IRF7,upregulated,BATF3
IRF7,upregulated,SP110
IRF7,upregulated,STAT1
IRF7,upregulated,ATF3
IRF7,upregulated,CREM
ZNF609,upregulated,SRCAP
ZNF148,upregulated,MYSM1
ZNF148,upregulated,ZNF254
ZNF148,upregulated,CDC5L
ZNF148,upregulated,MGA
ZNF148,upregulated,PURA
ZNF148,upregulated,ZNF708
ZNF148,upregulated,CGGBP1
ZNF148,upregulated,ELK4
ZNF148,upregulated,ZBTB26
ZNF148,upregulated,ZBTB33
ZNF148,upregulated,AHCTF1
ZNF148,upregulated,ZNF280D
ZNF148,upregulated,NCOA2
